i_or_j,r,t
0,1,0.000785398163397448
1,1.37506103515625,0.00235619449019234
2,1.7501220703125,0.00392699081698724
3,2.12518310546875,0.00549778714378214
4,2.500244140625,0.00706858347057703
5,2.87530517578125,0.00863937979737193
6,3.2503662109375,0.0102101761241668
7,3.62542724609375,0.0117809724509617
8,4.00048828125,0.0133517687777566
9,4.37554931640625,0.0149225651045515
10,4.7506103515625,0.0164933614313464
11,5.12567138671875,0.0180641577581413
12,5.500732421875,0.0196349540849362
13,5.87579345703125,0.0212057504117311
14,6.2508544921875,0.022776546738526
15,6.62591552734375,0.0243473430653209
16,7.0009765625,0.0259181393921158
17,7.37603759765625,0.0274889357189107
18,7.7510986328125,0.0290597320457056
19,8.12615966796875,0.0306305283725005
20,8.501220703125,0.0322013246992954
21,8.87628173828125,0.0337721210260903
22,9.2513427734375,0.0353429173528852
23,9.62640380859375,0.0369137136796801
24,10.00146484375,0.038484510006475
25,,0.0400553063332699
26,,0.0416261026600648
27,,0.0431968989868597
28,,0.0447676953136546
29,,0.0463384916404495
30,,0.0479092879672443
31,,0.0494800842940392
32,,0.0510508806208341
33,,0.052621676947629
34,,0.0541924732744239
35,,0.0557632696012188
36,,0.0573340659280137
37,,0.0589048622548086
38,,0.0604756585816035
39,,0.0620464549083984
40,,0.0636172512351933
41,,0.0651880475619882
42,,0.0667588438887831
43,,0.068329640215578
44,,0.0699004365423729
45,,0.0714712328691678
46,,0.0730420291959627
47,,0.0746128255227576
48,,0.0761836218495525
49,,0.0777544181763474
50,,0.0793252145031423
51,,0.0808960108299372
52,,0.0824668071567321
53,,0.084037603483527
54,,0.0856083998103219
55,,0.0871791961371168
56,,0.0887499924639117
57,,0.0903207887907066
58,,0.0918915851175015
59,,0.0934623814442964
60,,0.0950331777710913
61,,0.0966039740978862
62,,0.098174770424681
63,,0.0997455667514759
64,,0.101316363078271
65,,0.102887159405066
66,,0.104457955731861
67,,0.106028752058656
68,,0.10759954838545
69,,0.109170344712245
70,,0.11074114103904
71,,0.112311937365835
72,,0.11388273369263
73,,0.115453530019425
74,,0.11702432634622
75,,0.118595122673015
76,,0.12016591899981
77,,0.121736715326605
