i_or_j,r,t
0,1,0.00314159265358979
1,1.1837158203125,0.00942477796076938
2,1.367431640625,0.015707963267949
3,1.5511474609375,0.0219911485751286
4,1.73486328125,0.0282743338823081
5,1.9185791015625,0.0345575191894877
6,2.102294921875,0.0408407044966673
7,2.2860107421875,0.0471238898038469
8,2.4697265625,0.0534070751110265
9,2.6534423828125,0.0596902604182061
10,2.837158203125,0.0659734457253857
11,3.0208740234375,0.0722566310325652
12,3.20458984375,0.0785398163397448
13,3.3883056640625,0.0848230016469244
14,3.572021484375,0.091106186954104
15,3.7557373046875,0.0973893722612836
16,3.939453125,0.103672557568463
17,4.1231689453125,0.109955742875643
18,4.306884765625,0.116238928182822
19,4.4906005859375,0.122522113490002
20,4.67431640625,0.128805298797182
21,4.8580322265625,0.135088484104361
22,5.041748046875,0.141371669411541
23,5.2254638671875,0.14765485471872
24,5.4091796875,0.1539380400259
25,5.5928955078125,0.160221225333079
26,5.776611328125,0.166504410640259
27,5.9603271484375,0.172787595947439
28,6.14404296875,0.179070781254618
29,6.3277587890625,0.185353966561798
30,6.511474609375,0.191637151868977
31,6.6951904296875,0.197920337176157
32,6.87890625,0.204203522483337
33,7.0626220703125,0.210486707790516
34,7.246337890625,0.216769893097696
35,7.4300537109375,0.223053078404875
36,7.61376953125,0.229336263712055
37,7.7974853515625,0.235619449019234
38,7.981201171875,0.241902634326414
39,8.1649169921875,0.248185819633594
40,8.3486328125,0.254469004940773
41,8.5323486328125,0.260752190247953
42,8.716064453125,0.267035375555132
43,8.8997802734375,0.273318560862312
44,9.08349609375,0.279601746169492
45,9.2672119140625,0.285884931476671
46,9.450927734375,0.292168116783851
47,9.6346435546875,0.29845130209103
48,9.818359375,0.30473448739821
49,10.0020751953125,0.31101767270539
50,,0.317300858012569
51,,0.323584043319749
52,,0.329867228626928
53,,0.336150413934108
54,,0.342433599241288
55,,0.348716784548467
56,,0.354999969855647
57,,0.361283155162826
58,,0.367566340470006
59,,0.373849525777185
60,,0.380132711084365
61,,0.386415896391545
62,,0.392699081698724
63,,0.398982267005904
64,,0.405265452313083
65,,0.411548637620263
66,,0.417831822927443
67,,0.424115008234622
68,,0.430398193541802
69,,0.436681378848981
70,,0.442964564156161
71,,0.44924774946334
72,,0.45553093477052
73,,0.4618141200777
74,,0.468097305384879
75,,0.474380490692059
76,,0.480663675999238
77,,0.486946861306418
78,,0.493230046613598
79,,0.499513231920777
80,,0.505796417227957
81,,0.512079602535136
82,,0.518362787842316
83,,0.524645973149495
84,,0.530929158456675
85,,0.537212343763855
86,,0.543495529071034
87,,0.549778714378214
88,,0.556061899685393
89,,0.562345084992573
90,,0.568628270299753
91,,0.574911455606932
92,,0.581194640914112
93,,0.587477826221291
94,,0.593761011528471
95,,0.600044196835651
96,,0.60632738214283
97,,0.61261056745001
98,,0.618893752757189
99,,0.625176938064369
100,,0.631460123371548
101,,0.637743308678728
102,,0.644026493985908
103,,0.650309679293087
104,,0.656592864600267
105,,0.662876049907446
106,,0.669159235214626
107,,0.675442420521806
108,,0.681725605828985
109,,0.688008791136165
110,,0.694291976443344
111,,0.700575161750524
112,,0.706858347057704
113,,0.713141532364883
114,,0.719424717672063
115,,0.725707902979242
116,,0.731991088286422
117,,0.738274273593601
118,,0.744557458900781
119,,0.750840644207961
120,,0.75712382951514
121,,0.76340701482232
122,,0.769690200129499
123,,0.775973385436679
124,,0.782256570743859
125,,0.788539756051038
126,,0.794822941358218
127,,0.801106126665397
128,,0.807389311972577
129,,0.813672497279757
130,,0.819955682586936
131,,0.826238867894116
