i_or_j,r,t
0,1,0.0015707963267949
1,1.0909423828125,0.00471238898038469
2,1.181884765625,0.00785398163397448
3,1.2728271484375,0.0109955742875643
4,1.36376953125,0.0141371669411541
5,1.4547119140625,0.0172787595947439
6,1.545654296875,0.0204203522483337
7,1.6365966796875,0.0235619449019235
8,1.7275390625,0.0267035375555132
9,1.8184814453125,0.029845130209103
10,1.909423828125,0.0329867228626928
11,2.0003662109375,0.0361283155162826
12,2.09130859375,0.0392699081698724
13,2.1822509765625,0.0424115008234622
14,2.273193359375,0.045553093477052
15,2.3641357421875,0.0486946861306418
16,2.455078125,0.0518362787842316
17,2.5460205078125,0.0549778714378214
18,2.636962890625,0.0581194640914112
19,2.7279052734375,0.061261056745001
20,2.81884765625,0.0644026493985908
21,2.9097900390625,0.0675442420521806
22,3.000732421875,0.0706858347057703
23,3.0916748046875,0.0738274273593601
24,3.1826171875,0.0769690200129499
25,3.2735595703125,0.0801106126665397
26,3.364501953125,0.0832522053201295
27,3.4554443359375,0.0863937979737193
28,3.54638671875,0.0895353906273091
29,3.6373291015625,0.0926769832808989
30,3.728271484375,0.0958185759344887
31,3.8192138671875,0.0989601685880785
32,3.91015625,0.102101761241668
33,4.0010986328125,0.105243353895258
34,4.092041015625,0.108384946548848
35,4.1829833984375,0.111526539202438
36,4.27392578125,0.114668131856027
37,4.3648681640625,0.117809724509617
38,4.455810546875,0.120951317163207
39,4.5467529296875,0.124092909816797
40,4.6376953125,0.127234502470387
41,4.7286376953125,0.130376095123976
42,4.819580078125,0.133517687777566
43,4.9105224609375,0.136659280431156
44,5.00146484375,0.139800873084746
45,5.0924072265625,0.142942465738336
46,5.183349609375,0.146084058391925
47,5.2742919921875,0.149225651045515
48,5.365234375,0.152367243699105
49,5.4561767578125,0.155508836352695
50,5.547119140625,0.158650429006285
51,5.6380615234375,0.161792021659874
52,5.72900390625,0.164933614313464
53,5.8199462890625,0.168075206967054
54,5.910888671875,0.171216799620644
55,6.0018310546875,0.174358392274234
56,6.0927734375,0.177499984927823
57,6.1837158203125,0.180641577581413
58,6.274658203125,0.183783170235003
59,6.3656005859375,0.186924762888593
60,6.45654296875,0.190066355542183
61,6.5474853515625,0.193207948195772
62,6.638427734375,0.196349540849362
63,6.7293701171875,0.199491133502952
64,6.8203125,0.202632726156542
65,6.9112548828125,0.205774318810131
66,7.002197265625,0.208915911463721
67,7.0931396484375,0.212057504117311
68,7.18408203125,0.215199096770901
69,7.2750244140625,0.218340689424491
70,7.365966796875,0.22148228207808
71,7.4569091796875,0.22462387473167
72,7.5478515625,0.22776546738526
73,7.6387939453125,0.23090706003885
74,7.729736328125,0.23404865269244
75,7.8206787109375,0.237190245346029
76,7.91162109375,0.240331837999619
77,8.0025634765625,0.243473430653209
78,8.093505859375,0.246615023306799
79,8.1844482421875,0.249756615960389
80,8.275390625,0.252898208613978
81,8.3663330078125,0.256039801267568
82,8.457275390625,0.259181393921158
83,8.5482177734375,0.262322986574748
84,8.63916015625,0.265464579228338
85,8.7301025390625,0.268606171881927
86,8.821044921875,0.271747764535517
87,8.9119873046875,0.274889357189107
88,9.0029296875,0.278030949842697
89,9.0938720703125,0.281172542496287
90,9.184814453125,0.284314135149876
91,9.2757568359375,0.287455727803466
92,9.36669921875,0.290597320457056
93,9.4576416015625,0.293738913110646
94,9.548583984375,0.296880505764235
95,9.6395263671875,0.300022098417825
96,9.73046875,0.303163691071415
97,9.8214111328125,0.306305283725005
98,9.912353515625,0.309446876378595
99,10.0032958984375,0.312588469032184
100,,0.315730061685774
101,,0.318871654339364
102,,0.322013246992954
103,,0.325154839646544
104,,0.328296432300133
105,,0.331438024953723
106,,0.334579617607313
107,,0.337721210260903
108,,0.340862802914493
109,,0.344004395568082
110,,0.347145988221672
111,,0.350287580875262
112,,0.353429173528852
113,,0.356570766182442
114,,0.359712358836031
115,,0.362853951489621
116,,0.365995544143211
117,,0.369137136796801
118,,0.372278729450391
119,,0.37542032210398
120,,0.37856191475757
121,,0.38170350741116
122,,0.38484510006475
123,,0.387986692718339
124,,0.391128285371929
125,,0.394269878025519
126,,0.397411470679109
127,,0.400553063332699
128,,0.403694655986288
129,,0.406836248639878
130,,0.409977841293468
131,,0.413119433947058
132,,0.416261026600648
133,,0.419402619254237
134,,0.422544211907827
135,,0.425685804561417
136,,0.428827397215007
137,,0.431968989868597
138,,0.435110582522186
139,,0.438252175175776
140,,0.441393767829366
141,,0.444535360482956
142,,0.447676953136546
143,,0.450818545790135
144,,0.453960138443725
145,,0.457101731097315
146,,0.460243323750905
147,,0.463384916404495
148,,0.466526509058084
149,,0.469668101711674
150,,0.472809694365264
151,,0.475951287018854
152,,0.479092879672444
153,,0.482234472326033
154,,0.485376064979623
155,,0.488517657633213
156,,0.491659250286803
157,,0.494800842940392
158,,0.497942435593982
159,,0.501084028247572
160,,0.504225620901162
161,,0.507367213554752
162,,0.510508806208341
163,,0.513650398861931
164,,0.516791991515521
