T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
10,0.344585864291589,0.0715220415261715,9.08987439962785e-08,0.000447047244982528,-0.00215380189643218,2.98169046850991e-05,50025,58,0.1,6.56241863263524e-06,1.23327412019377e-07,1.93455683801125e-07,6.14856848694784e-07,3.49738432574188e-07,3.37360184361075e-07,6.47661550909895e-05,13545.8862645384,0.0184071804651567,0.947700444797492,4.47158246216014,0.0352178695141878,3.93619225028385e-06,3.93619225028385e-06,-2.63635559811019e-06,-2.63635559811019e-06,0,0,0,0,0,0,0,0.000605698690114549,5.77734073883441,5.77794643752453,-2.77688584276443e-09
11,0.34458562577811,0.0715214399792995,1.10102891090023e-07,0.000491749358432969,-0.00236918170390914,3.28158622027113e-05,50025,64,0.1,6.56242104880853e-06,1.73866470922835e-07,2.64227161380149e-07,8.12542996016604e-07,4.85960299225265e-07,4.36020165078236e-07,6.4766155098317e-05,19000.0874369682,0.0268632211096753,0.913214977338756,4.46861398200882,0.04828473428214,3.89530342592942e-06,3.89530342592942e-06,-2.56939665249067e-06,-2.56939665249067e-06,0,0,0,0,0,0,0,0.000729002593199393,5.77736337639118,5.77809237898438,-1.55416638659237e-09
12,0.344585364492578,0.0715207821800453,1.31104974127744e-07,0.000536450732598124,-0.00258456139892649,3.58197307239068e-05,50025,70,0.1,6.56242369043943e-06,2.36004862592211e-07,3.48726424604135e-07,1.04701585980772e-06,6.54716564352894e-07,5.48865561071853e-07,6.47661551219647e-05,25649.3473425686,0.0376790239354858,0.934264933126268,4.46537175346738,0.0641653534503472,3.85419391304225e-06,3.85419391304225e-06,-2.50343358981831e-06,-2.50343358981831e-06,0,0,0,0,0,0,0,0.000864051011643832,5.77738824721763,5.77825229822927,-2.73649482763587e-09
13,0.344585080419923,0.0715200684106122,1.53896540017956e-07,0.000581151302798458,-0.00279994096968048,3.88289595247356e-05,50025,76,0.2,6.56242655632737e-06,3.09825503409613e-07,4.47176963471995e-07,1.31917078443101e-06,8.58693396788952e-07,6.75553562212958e-07,6.47661551543832e-05,33351.6282461486,0.0511157696725282,0.909818207147562,4.46185720923519,0.083005290778851,3.81286307429344e-06,3.81286307429344e-06,-2.43740054090871e-06,-2.43740054090871e-06,0,0,0,0,0,0,0,0.00101084275042882,5.77741535277151,5.77842619552194,-6.7465980430565e-09
14,0.34458477354384,0.071519298977498,1.78468403161861e-07,0.000625851005011148,-0.00301532040395648,4.18439986173255e-05,50025,80,0.2,6.5624296451261e-06,3.99512237799818e-07,5.59512618375223e-07,1.62300337084222e-06,1.09963753058334e-06,8.15229247709268e-07,6.47661551709255e-05,41988.1605804501,0.0673845812864498,0.922875227512322,4.45807200812776,0.104972206278474,3.77129493737036e-06,3.77129493737036e-06,-2.37244352495593e-06,-2.37244352495593e-06,0,0,0,0,0,0,0,0.00116937671826021,5.77744469478938,5.77861407150764,-1.91658855653848e-09
15,0.344584443846806,0.0715184742114341,2.04810646118032e-07,0.000670549775923821,-0.00323069968909501,4.48652988114443e-05,50025,86,0.2,6.56243295541922e-06,4.96098368550848e-07,6.85270852314544e-07,1.96169558915826e-06,1.37762102711772e-06,9.6685974694213e-07,6.47661551934631e-05,51182.5273083165,0.0866911951849008,1.11116522923811,4.45401800562629,0.237934185023347,3.72947545395415e-06,3.72947545395415e-06,-2.30872091585745e-06,-2.30872091585745e-06,0,0,0,0,0,0,0,0.00133965181305471,5.77747627517045,5.77881592698351,5.67796076163376e-09
16,0.344584091310097,0.0715175944673193,2.32912620331551e-07,0.000715247552988057,-0.00344607881195789,4.78933117761165e-05,50025,92,0.2,6.56243648567392e-06,5.99961845757292e-07,8.23705568214444e-07,2.3339836399805e-06,1.68874280875478e-06,1.12991046481557e-06,6.4766155267626e-05,61392.8053359406,0.109192460386082,1.33083707437916,4.44969723365931,0.158557343798276,3.6873974952435e-06,3.6873974952435e-06,-2.24380588884531e-06,-2.24380588884531e-06,0,0,0,0,0,0,0,0.00152166720259877,5.77751009617666,5.77903176337926,2.34854447253747e-08
17,0.344583715913811,0.0715166601241496,2.62762946931966e-07,0.000759944274472642,-0.00366145775889442,5.09284901012941e-05,50025,96,0.2,6.56244023424633e-06,7.11839887487002e-07,9.74114165121115e-07,2.72595890896002e-06,2.03395503454788e-06,1.30421921149128e-06,6.47661553381251e-05,71931.5550016457,0.134993283875556,1.54840328529244,4.44511188595115,0.190286863539166,3.64502745544366e-06,3.64502745544366e-06,-2.18066325509079e-06,-2.18066325509079e-06,0,0,0,0,0,0,0,0.00171542212080097,5.77754616041468,5.77926158253548,3.86219545214328e-08
18,0.34458331763689,0.0715156715849418,2.94349517602105e-07,0.000804639879516548,-0.00387683651570763,5.39712873595958e-05,50025,95,0.2,6.56244419946192e-06,8.348574021788e-07,1.13606279919654e-06,3.10814710252628e-06,2.40761607459151e-06,1.49044929342752e-06,6.47661555174261e-05,82465.4408028034,0.164200479017878,1.70523597072984,4.44026430682572,0.225225449476538,3.60240114515741e-06,3.60240114515741e-06,-2.11881734435937e-06,-2.11881734435937e-06,0,0,0,0,0,0,0,0.00192091567814068,5.77758447055691,5.77950538623505,1.04936780705736e-07
19,0.344582896457143,0.0715146292766538,3.27659495519187e-07,0.000849334308181617,-0.00409221506762064,5.70221581680408e-05,50025,101,0.2,6.56244837943433e-06,9.48309490603659e-07,1.30975963228979e-06,3.52835995846883e-06,2.79330418878499e-06,1.67976430892256e-06,6.47661555187584e-05,92877.9880096156,0.196779977834847,1.92943287703714,4.43515698222139,0.264109665317962,3.55937179689312e-06,3.55937179689312e-06,-2.06113719847089e-06,-2.06113719847089e-06,0,0,0,0,0,0,0,0.00213814667366004,5.77762502885583,5.77976317552949,1.25896161606379e-08
20,0.344582452351271,0.0715135336500987,3.62679316376222e-07,0.000894027501504944,-0.00430759339924311,6.00815582499691e-05,50025,106,0.2,6.56245277235651e-06,1.06301775947232e-06,1.49093055459296e-06,3.96881301434322e-06,3.19780446337069e-06,1.87475014335624e-06,6.47661564865398e-05,102464.534895104,0.23325291162202,2.12214374687412,4.42979253211748,0.305617524929732,3.51610153438717e-06,3.51610153438717e-06,-1.99666541082785e-06,-1.99666541082785e-06,0,0,0,0,0,0,0,0.00236711431885461,5.77766783855378,5.78003495287263,-6.91296401808832e-07
21,0.344581985294895,0.0715123851798552,3.99394689481191e-07,0.000938719401550934,-0.00452297149453775,6.31499444969012e-05,50025,106,0.2,6.56245737617269e-06,1.15679516531393e-06,1.67845818496518e-06,4.35614926363582e-06,3.62429199282131e-06,2.08539918437317e-06,6.47661563268898e-05,112051.371149931,0.273108369721263,2.30413587374315,4.42417370390237,0.350864757727846,3.47284743877193e-06,3.47284743877193e-06,-1.93741671595729e-06,-1.93741671595729e-06,0,0,0,0,0,0,0,0.00260781754369652,5.77771290296611,5.78032072050981,-7.47342800240984e-07
22,0.344581495262578,0.071511184364172,4.37790598940978e-07,0.000983409951463011,-0.00473834933678694,6.62277750305485e-05,50025,106,0.2,6.56246218883356e-06,1.27553172069246e-06,1.87700277355102e-06,4.7913306829181e-06,4.03198504909694e-06,2.29292047981593e-06,6.47661560203572e-05,121576.368833586,0.31628413353256,2.45432146517798,4.41830336633897,0.399475501513514,3.42902398305314e-06,3.42902398305314e-06,-1.88023630764986e-06,-1.88023630764986e-06,0,0,0,0,0,0,0,0.00286025524597768,5.77776022499006,5.78062048023604,3.91596884075609e-07
