T_index,B_r,B_t,B_p,E_r,E_t,E_p,N_pts_within_FF_region,E_pts_chngd,pct_E_pts_chngd,stdev_B_r,stdev_E_r,stdev_B_t,stdev_E_t,stdev_B_p,stdev_E_p,max_abs_rel_dev_B_r,max_abs_rel_dev_E_r,max_abs_rel_dev_B_t,max_abs_rel_dev_E_t,max_abs_rel_dev_B_p,max_abs_rel_dev_E_p,B_outer_BCs_difference_t,E_outer_BCs_difference_t,B_outer_BCs_difference_p,E_outer_BCs_difference_p,nans_B_r,nans_E_r,nans_B_t,nans_E_t,nans_B_p,nans_E_p,nans_tot,total_electric_energy,total_magnetic_energy,total_energy,normalised_B_div_volume_integral
10,0.00807089380825,0.0040481445217626,-1.92112854132623e-13,0.000149360401897963,-0.0002977838210212,1.04766374787157e-08,50050,18,0,2.20307615047511e-05,1.74536202638199e-08,4.40571996619154e-08,1.35485139276268e-07,7.77037758889146e-08,7.87685289251888e-08,0.00025902717451054,1061.01589006524,0.00765565016246184,0.88015617195997,1.12702194076936,0.0296760889272121,1.43408395128018e-05,1.43408395128018e-05,-3.08878829409827e-06,-3.08878829409827e-06,0,0,0,0,0,0,0,0.000547186430965675,4.56632438722653,4.56687157365749,-9.10434154355127e-11
11,0.00807089388589812,0.00404814452529173,-2.06922622909152e-13,0.000164296441169505,-0.00032756220425913,1.61080073431116e-08,50050,20,0,2.20307890006614e-05,2.54627552030399e-08,6.10791135010551e-08,1.84078163462993e-07,1.09984120000447e-07,1.04317796369166e-07,0.000259027174591253,646.625806285453,0.0100963755642707,0.877753275221975,1.12734114819666,0.0159524678232965,1.41273170088778e-05,1.41273170088778e-05,-2.93535799342433e-06,-2.93535799342433e-06,0,0,0,0,0,0,0,0.00066014986063402,4.56632670400041,4.56698685386105,-5.42751126382258e-10
12,0.00807089398206142,0.00404814452640592,-2.13292252809701e-13,0.000179232479876036,-0.000357340587967317,2.30469602977711e-08,50050,22,0,2.20308189158165e-05,3.63471847969271e-08,8.22818110944278e-08,2.44378331243212e-07,1.51794593675343e-07,1.35002391687762e-07,0.000259027174679072,168.989612583234,0.012991821722055,0.885170518071475,1.12768891821468,0.0198454197124494,1.39110630885545e-05,1.39110630885545e-05,-2.78403046900714e-06,-2.78403046900714e-06,0,0,0,0,0,0,0,0.000783872203018659,4.56632933807467,4.56711321027768,1.19364896299532e-09
13,0.00807089409976603,0.00404814452435663,-2.08828381591375e-13,0.000194168517829621,-0.00038711897225449,3.1412337135982e-08,50050,24,0,2.20308511969455e-05,5.06395607913175e-08,1.08135393729029e-07,3.17684786894504e-07,2.04584458205221e-07,1.71215279885601e-07,0.000259027174774107,1435.48020726086,0.0163718116915454,0.87874414176119,1.12806486421643,0.0242861605009013,1.3692134791714e-05,1.3692134791714e-05,-2.63412454348998e-06,-2.63412454348998e-06,0,0,0,0,0,0,0,0.000918352816888201,4.56633229134835,4.56725064416524,-2.14902609701512e-09
14,0.00807089424230121,0.00404814451833028,-1.91053735754882e-13,0.000209104554806873,-0.0004168973572464,4.13229707724764e-08,50050,24,0,2.20308857865031e-05,7.02959397553688e-08,1.39074209750173e-07,3.98555167648588e-07,2.69748296059069e-07,2.13292612898815e-07,0.000259027174875137,3154.73478306518,0.0202623334012173,0.892295090793951,1.12846855595007,0.0891025113825192,1.34706184354076e-05,1.34706184354076e-05,-2.48638258711908e-06,-2.48638258711908e-06,0,0,0,0,0,0,0,0.00106359106099953,4.5663355658987,4.5673991569597,1.69807022212425e-09
15,0.00807089441321934,0.00404814450744829,-1.57438287848119e-13,0.000224040590546017,-0.000446675743087199,5.28976856006111e-08,50050,26,0.1,2.20309226228645e-05,9.30622991549616e-08,1.75489168936518e-07,4.93560547630425e-07,3.46578350579614e-07,2.61319103548638e-07,0.000259027174982607,5629.9091122044,0.0246846782954273,0.879042656017097,1.12889952297734,0.0958079623468532,1.32465936659943e-05,1.32465936659943e-05,-2.33951469867531e-06,-2.33951469867531e-06,0,0,0,0,0,0,0,0.0012195862984706,4.56633916395872,4.56755875025719,-4.02808771365339e-09
16,0.00807089461633589,0.00404814449076704,-1.05432599730127e-13,0.00023897662474394,-0.000476454129940816,6.62552968496767e-08,50050,28,0.1,2.20309616403758e-05,1.19908098918196e-07,2.17637386933555e-07,6.03100384519597e-07,4.34719828715845e-07,3.15566631147379e-07,0.00025902717509696,9475.16728754118,0.029647925433381,0.898468901584615,1.1293572571573,0.0455549237160882,1.30201150861361e-05,1.30201150861361e-05,-2.19516514613908e-06,-2.19516514613908e-06,0,0,0,0,0,0,0,0.00138633793172731,4.56634308795538,4.56772942588711,6.00246919433448e-09
17,0.00807089485572942,0.00404814446727794,-3.25038602382882e-14,0.000253912657053256,-0.000506232517992338,8.15146099478007e-08,50050,30,0.1,2.20310027694774e-05,1.51395068686957e-07,2.65771260601254e-07,7.28379809974166e-07,5.36333604924272e-07,3.76140889014033e-07,0.000259027175216975,14850.7613926883,0.0373997772746821,0.880808123183568,1.12984121454928,0.0567742547432601,1.27913630645324e-05,1.27913630645324e-05,-2.05229632290029e-06,-2.05229632290029e-06,0,0,0,0,0,0,0,0.00156384537590805,4.56634734050267,4.56791118587858,-3.26585300044735e-09
18,0.00807089513574158,0.00404814443590744,6.38256434469103e-14,0.000268848687079361,-0.00053601090744938,9.87944198873634e-08,50050,32,0.1,2.20310459368294e-05,1.87938808607228e-07,3.20082872412679e-07,8.70419857454332e-07,6.53041550145654e-07,4.43081067795913e-07,0.000259027175554816,22859.1967459485,0.0472219533614708,0.889753956131135,1.1303508169709,0.0697851838492289,1.25602830169833e-05,1.25602830169833e-05,-1.91066923604373e-06,-1.91066923604373e-06,0,0,0,0,0,0,0,0.00175210807721049,4.5663519244006,4.56810403247781,7.18521180133547e-09
19,0.0080708954609771,0.00404814439551699,1.85937601598317e-13,0.000283784714377494,-0.000565789298543472,1.18213510593322e-07,50050,34,0.1,2.20310910654389e-05,2.29758792721142e-07,3.80691553969607e-07,1.02985352179601e-06,7.8613922161795e-07,5.16356568911801e-07,0.000259027175702031,34572.0391629766,0.0587828156836399,0.88075001646308,1.1308854533433,0.0847983289305609,1.23271614149666e-05,1.23271614149666e-05,-1.77115908405507e-06,-1.77115908405507e-06,0,0,0,0,0,0,0,0.00195112550909327,4.56635684263225,4.56830796814135,-1.73484955357879e-09
20,0.00807089583630376,0.00404814434490316,3.36074309964106e-13,0.000298720738449797,-0.000595567691531426,1.39890654296713e-07,50050,36,0.1,2.20311380748491e-05,2.76864920912398e-07,4.47643681338616e-07,1.20704697877531e-06,9.36542743623916e-07,5.95872880930684e-07,0.000259027176392368,52589.3853072127,0.0722869678331586,0.889328917438018,1.13144448091382,0.101854093229496,1.20918970951265e-05,1.20918970951265e-05,-1.63268911043747e-06,-1.63268911043747e-06,0,0,0,0,0,0,0,0.00216089717357321,4.56636209836543,4.568522995539,1.23393810366251e-08
21,0.00807089626685243,0.00404814428279756,5.1629276146108e-13,0.000313656758742376,-0.000625346086696723,1.63944610910387e-07,50050,38,0.1,2.20311868810935e-05,3.29109886393316e-07,5.20915684704694e-07,1.40206276926537e-06,1.10484729739733e-06,6.81482248685791e-07,0.000259027176508941,81485.7977176627,0.0878476111783904,0.87480616773413,1.13202722640821,0.121183519433197,1.18548263060301e-05,1.18548263060301e-05,-1.49609275736775e-06,-1.49609275736775e-06,0,0,0,0,0,0,0,0.0023814226022054,4.56636769495042,4.56874911755263,-1.14120340288157e-09
22,0.00807089675801698,0.00404814420786693,7.28416176345291e-13,0.000328592774642361,-0.00065512448435088,1.90494127411435e-07,50050,40,0.1,2.20312373971457e-05,3.86199128181827e-07,6.00421867375628e-07,1.61477583038652e-06,1.29130927083308e-06,7.72996506132521e-07,0.000259027177461846,133795.878383316,0.105685121975361,0.876011701093484,1.13263298714777,2.12218359704294,1.16157962151077e-05,1.16157962151077e-05,-1.36065822521152e-06,-1.36065822521152e-06,0,0,0,0,0,0,0,0.00261270135681118,4.56637363591697,4.56898633727378,1.24350069313587e-08
23,0.00807089731545436,0.00404814411871312,9.73983348949157e-13,0.000343528785474969,-0.000684902884834834,2.19657937225105e-07,50050,42,0.1,2.20312895327516e-05,4.47717130281984e-07,6.86023646789189e-07,1.8446660037699e-06,1.49591670142838e-06,8.70198565096432e-07,0.000259027177689553,250434.55667503,0.125928931833886,0.868329413590598,1.13326103215569,0.167072437296939,1.13752185200062e-05,1.13752185200062e-05,-1.22699556293552e-06,-1.22699556293552e-06,0,0,0,0,0,0,0,0.00285473302717183,4.56637992496943,4.5692346579966,8.42844719346601e-10
24,0.00807089794508451,0.00404814401387316,1.25419516161239e-12,0.000358464790500565,-0.000714681288520314,2.51554759615971e-07,50050,40,0.1,2.20313431947994e-05,5.18381815764982e-07,7.77537892083654e-07,2.06094498855558e-06,1.71831374989065e-06,9.76880172023048e-07,0.000259027178899696,704740.889738067,0.148806615792066,0.878211333366906,1.1339106032683,0.193644030210387,1.1132897300799e-05,1.1132897300799e-05,-1.09460009759857e-06,-1.09460009759857e-06,0,0,0,0,0,0,0,0.00310751713793314,4.56638656598413,4.56949408312207,1.77014642927496e-08
25,0.0080708986530904,0.00404814389181922,1.56985881730857e-12,0.000373400788911727,-0.000744459695811219,2.86303299082747e-07,50050,42,0.1,2.20313982873307e-05,5.98499038152004e-07,8.76857461588293e-07,2.3182218515765e-06,1.94486857275864e-06,1.08315853055408e-06,0.000259027179789761,2011282.24133303,0.174307033019104,0.858712903774649,1.13458091626038,0.223651343037439,1.08892551233946e-05,1.08892551233946e-05,-9.59699393040893e-07,-9.59699393040893e-07,0,0,0,0,0,0,0,0.00337105308877219,4.56639356271053,4.5697646157993,4.42903005959229e-08
26,0.00807089944591798,0.00404814375095871,1.92132968354456e-12,0.000388336779830309,-0.000774238107144994,3.24022244758298e-07,50050,46,0.1,2.20314547119361e-05,6.69502636771902e-07,9.80142453358278e-07,2.58675087588678e-06,2.19281841744305e-06,1.19236816038428e-06,0.000259027181672367,492503.696109368,0.202983491396046,0.865237966933856,1.13527116199513,0.256575166586239,1.06441356318003e-05,1.06441356318003e-05,-8.32609072788659e-07,-8.32609072788659e-07,0,0,0,0,0,0,0,0.00364534067393456,4.56640091928812,4.57004625996206,1.03253291071644e-07
27,0.00807090033027619,0.00404814358963424,2.30845030305395e-12,0.000403272762304505,-0.000804016522994004,3.64830269815172e-07,50050,42,0.1,2.20315123675818e-05,7.40638619149932e-07,1.08676206951083e-06,2.7970510677725e-06,2.45291550565851e-06,1.31994961478834e-06,0.00025902718326154,303842.080472819,0.234980301376315,0.88282468476695,1.13598050760069,0.29213399388766,1.03978594365099e-05,1.03978594365099e-05,-7.06108121377739e-07,-7.06108121377739e-07,0,0,0,0,0,0,0,0.00393037939752151,4.56640864025359,4.57033901965111,1.79616452703088e-07
28,0.00807090131313695,0.0040481434061237,2.73048744406747e-12,0.000418208735305917,-0.000833794943866913,4.08846030877181e-07,50050,46,0.1,2.20315711510669e-05,8.19581319305432e-07,1.20432431210369e-06,3.09018701640874e-06,2.69295834702563e-06,1.43540368020656e-06,0.000259027185767757,235567.286651607,0.269882883377156,0.863877731222741,1.13670809767754,0.331620211100459,1.01507624851366e-05,1.01507624851366e-05,-5.71986874536834e-07,-5.71986874536834e-07,0,0,0,0,0,0,0,0.00422616834127922,4.56641672961854,4.57064289795982,-3.04916871148833e-07
29,0.00807090240173511,0.00404814319864023,3.18606609999707e-12,0.000433144697726617,-0.000863573370310054,4.56188167435444e-07,50050,48,0.1,2.20316309571091e-05,8.88720694852148e-07,1.32185778244704e-06,3.35533148270909e-06,2.96427738895773e-06,1.55928214073474e-06,0.000259027184163596,197741.957889361,0.308925806668026,0.961533454212808,1.13745305554047,0.374240789278724,9.90205121918986e-06,9.90205121918986e-06,-4.5238417746015e-07,-4.5238417746015e-07,0,0,0,0,0,0,0,0.00453270784991289,4.5664251920861,4.57095789993602,-2.77447841815307e-07
30,0.00807090360356847,0.00404814296533233,3.67310160757168e-12,0.000448080648376219,-0.000893351802908811,5.06975301272267e-07,50050,46,0.1,2.20316916784276e-05,9.65858723591625e-07,1.44312412091799e-06,3.60930809709088e-06,3.23330907219206e-06,1.69615598231339e-06,0.000259027185713578,174624.181823606,0.351600887961835,1.0206653664046,1.13821448449366,0.422539428998996,9.65307051546612e-06,9.65307051546612e-06,-3.26042768068394e-07,-3.26042768068394e-07,0,0,0,0,0,0,0,0.00484999687561975,4.56643403246763,4.57128402934325,-1.42766701612729e-07
31,0.00807090492639776,0.00404814270428381,4.18872877767541e-12,0.000463016585978946,-0.000923130242288985,5.61326035889342e-07,50050,50,0.1,2.20317532061045e-05,1.03060775598822e-06,1.57325919454314e-06,3.89251861618274e-06,3.49978297357267e-06,1.820973431933e-06,0.000259027192460515,158372.400281413,0.399156397054815,1.12348014603712,1.13899146914191,0.474713672593289,9.40295822143063e-06,9.40295822143063e-06,-1.99908720210451e-07,-1.99908720210451e-07,0,0,0,0,0,0,0,0.00517803518598137,4.56644325516155,4.57162129034753,6.43173348819157e-07
32,0.0080709063782466,0.00404814241351388,4.72922884972064e-12,0.000477952509170694,-0.000952908689118177,6.19358955943975e-07,50050,46,0.1,2.20318154295948e-05,1.1414912747961e-06,1.70203316624061e-06,4.1711115110285e-06,3.77383775699345e-06,1.96632511287236e-06,0.000259027198379447,146692.487766474,0.451191053026273,1.15988772734544,1.13978307673622,0.53006190032636,9.15361500442588e-06,9.15361500442588e-06,-8.24874181866941e-08,-8.24874181866941e-08,0,0,0,0,0,0,0,0.00551682237375633,4.56645286547892,4.57196968785267,-7.46376741144353e-07
33,0.00807090796740151,0.00404814209097717,5.28995385709745e-12,0.00049288841649611,-0.000982687144107156,6.81192626690887e-07,50050,50,0.1,2.20318782370201e-05,1.20959140043278e-06,1.84026911603798e-06,4.43927946857086e-06,4.05972717826483e-06,2.09853502587955e-06,0.000259027191498729,138282.042026335,0.508731738602464,1.26757197038698,1.14058835855439,2.87920880605108,8.90201822259241e-06,8.90201822259241e-06,4.86116089710119e-08,4.86116089710119e-08,0,0,0,0,0,0,0,0.00586635814189509,4.56646286749037,4.57232922563227,-6.96023539275749e-07
34,0.00807090970241186,0.00404814173456372,5.86524863393296e-12,0.000507824306405658,-0.00101246560801124,7.46945593432343e-07,50050,49,0.1,2.20319415152661e-05,1.26527409937098e-06,1.97763002945996e-06,4.66153830846776e-06,4.33063246144583e-06,2.24634041690735e-06,0.000259027198612038,129346.435311868,0.571726945528332,1.34161191210553,1.18539773162113,0.657612054423068,8.65022518034509e-06,8.65022518034509e-06,1.54384255612124e-07,1.54384255612124e-07,0,0,0,0,0,0,0,0.00622664156213378,4.5664732671762,4.57269990873833,9.70418459251409e-07
35,0.00807091159208987,0.00404814134209909,6.44837017684498e-12,0.000522760177252692,-0.00104224408163165,8.16736380972528e-07,50050,49,0.1,2.20320051502823e-05,1.3529012430084e-06,2.1211530909851e-06,4.9444643821186e-06,4.57535369004263e-06,2.39297075867134e-06,0.000259027196829686,123916.084958259,0.640344041179723,1.37276126371786,1.26234457159216,0.735035680724906,8.40006011370247e-06,8.40006011370247e-06,2.81768500162547e-07,2.81768500162547e-07,0,0,0,0,0,0,0,0.00659767130380231,4.56648406952489,4.57308174082869,1.25940801448376e-06
36,0.00807091364551062,0.00404814091134433,7.03140474464422e-12,0.000537696027290529,-0.00107202256581691,8.90683493083026e-07,50050,52,0.1,2.20320690272429e-05,1.40497270379311e-06,2.26838650022989e-06,5.18534322511735e-06,4.843843768486e-06,2.53386965103083e-06,0.000259027205371409,118316.808644925,0.717340670649431,1.4691926989282,1.31640856025673,0.815707665075648,8.14967769571876e-06,8.14967769571876e-06,3.98949400607723e-07,3.98949400607723e-07,0,0,0,0,0,0,0,0.00697944896679675,4.56649527913418,4.57347472810097,-1.08217012841524e-06
