Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Following Parfrey's outer boundary conditions more carefully (PhD thesis, section 3.9), there is a sin(theta) term between the theta- and phi-components which had not been accounted for previously.

Time start:	Mon Jun 03 16:16:57 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	5.06057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240603_h_corrected_Parfrey_outer_BCs_4_profiles.csv
CSV file saved:	CSV/20240603_h_corrected_Parfrey_outer_BCs_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_h_corrected_Parfrey_outer_BCs_7_BCs.csv
Log file saved:	Logs/20240603_h_corrected_Parfrey_outer_BCs.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
31            0.0946045     |	0.00141602    0.000251069   -0.000169768  |	1.0846e-05    -0.000120233  -0.000354509  |	0.1           |	0             6.4           0:11:26
32            0.0976562     |	0.00141616    0.000251312   -0.00017439   |	1.06011e-05   -0.000123506  -0.000354852  |	0.1           |	0             6.6           0:11:25
33            0.100708      |	0.0014163     0.000251594   -0.000178969  |	1.05123e-05   -0.000126749  -0.000355249  |	0.1           |	0             6.8           0:11:23
34            0.10376       |	0.00141643    0.000251904   -0.000183521  |	1.05843e-05   -0.000129973  -0.000355688  |	0.1           |	0             7             0:11:22
35            0.106812      |	0.00141656    0.000252244   -0.00018802   |	1.08618e-05   -0.000133159  -0.000356167  |	0.1           |	0             7.2           0:11:20
36            0.109863      |	0.00141669    0.000252601   -0.000192494  |	1.1319e-05    -0.000136328  -0.000356671  |	0.1           |	0             7.4           0:11:19
37            0.112915      |	0.00141681    0.000252969   -0.000196928  |	1.19983e-05   -0.000139468  -0.000357191  |	0.1           |	0             7.6           0:11:17
38            0.115967      |	0.00141693    0.000253347   -0.000201325  |	1.2899e-05    -0.000142582  -0.000357725  |	0.1           |	0             7.8           0:11:15
39            0.119019      |	0.00141705    0.000253731   -0.000205681  |	1.40246e-05   -0.000145667  -0.000358267  |	0.1           |	0             8             0:11:13
40            0.12207       |	0.00141716    0.00025411    -0.000210016  |	1.53802e-05   -0.000148737  -0.000358803  |	0.1           |	0             8.2           0:11:12
41            0.125122      |	0.00141728    0.000254485   -0.000214317  |	1.69967e-05   -0.000151783  -0.000359332  |	0.1           |	0             8.4           0:11:10
42            0.128174      |	0.00141739    0.000254856   -0.000218578  |	1.88642e-05   -0.000154801  -0.000359856  |	0.1           |	0             8.6           0:11:08
43            0.131226      |	0.0014175     0.000255211   -0.000222825  |	2.09735e-05   -0.000157808  -0.000360357  |	0.1           |	0             8.8           0:11:06
44            0.134277      |	0.0014176     0.000255557   -0.000227033  |	2.33697e-05   -0.000160789  -0.000360845  |	0.1           |	0             9             0:11:05
45            0.137329      |	0.00141771    0.000255882   -0.000231222  |	2.60295e-05   -0.000163755  -0.000361305  |	0.1           |	0             9.2           0:11:03
46            0.140381      |	0.00141781    0.000256193   -0.000235381  |	2.89574e-05   -0.000166701  -0.000361744  |	0.1           |	0             9.4           0:11:06
