Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Petri's BCs are the most accurate and I think the blowup is for a different reason. Try reintroducing more accurate calculation methods.

Time start:	Tue Jun 11 13:52:11 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	6                   0.000200138457118891	steps: 2000
Est. CSV size (MB)     :	40.484619140625
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240611_d_Petri_BCs_Booles_rule_longer_4_profiles.csv
CSV file saved:	CSV/20240611_d_Petri_BCs_Booles_rule_longer_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240611_d_Petri_BCs_Booles_rule_longer_7_BCs.csv
Log file saved:	Logs/20240611_d_Petri_BCs_Booles_rule_longer.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
31            0.0946045     |	0.00141632    0.000321743   -0.000147722  |	2.9551e-05    -0.000147722  -0.000321743  |	0.1           |	0             1.6           0:45:03
32            0.0976562     |	0.00141646    0.000320459   -0.000151981  |	2.98462e-05   -0.000151981  -0.000320459  |	0.1           |	0             1.7           0:45:05
33            0.100708      |	0.00141661    0.00031917    -0.000156183  |	3.02954e-05   -0.000156183  -0.00031917   |	0.1           |	0             1.7           0:44:59
34            0.10376       |	0.00141674    0.000317875   -0.00016033   |	3.09061e-05   -0.00016033   -0.000317875  |	0.1           |	0             1.8           0:44:56
35            0.106812      |	0.00141688    0.00031658    -0.00016442   |	3.16977e-05   -0.00016442   -0.00031658   |	0.1           |	0             1.8           0:44:51
36            0.109863      |	0.00141702    0.000315279   -0.00016848   |	3.26598e-05   -0.00016848   -0.000315279  |	0.1           |	0             1.9           0:44:48
37            0.112915      |	0.00141715    0.000313988   -0.000172492  |	3.38293e-05   -0.000172492  -0.000313988  |	0.1           |	0             1.9           0:44:45
38            0.115967      |	0.00141728    0.000312698   -0.000176435  |	3.52183e-05   -0.000176435  -0.000312698  |	0.1           |	0             2             0:44:40
39            0.119019      |	0.0014174     0.000311418   -0.000180354  |	3.68021e-05   -0.000180354  -0.000311418  |	0.1           |	0             2             0:44:38
40            0.12207       |	0.00141753    0.000310143   -0.000184231  |	3.86182e-05   -0.000184231  -0.000310143  |	0.1           |	0             2.1           0:44:34
41            0.125122      |	0.00141765    0.000308885   -0.000188047  |	4.06727e-05   -0.000188047  -0.000308885  |	0.1           |	0             2.1           0:44:30
42            0.128174      |	0.00141777    0.000307642   -0.000191836  |	4.29513e-05   -0.000191836  -0.000307642  |	0.1           |	0             2.2           0:44:26
43            0.131226      |	0.0014179     0.000306408   -0.000195581  |	4.5482e-05    -0.000195581  -0.000306408  |	0.1           |	0             2.2           0:44:23
44            0.134277      |	0.00141802    0.000305201   -0.000199292  |	4.82443e-05   -0.000199292  -0.000305201  |	0.1           |	0             2.3           0:44:21
45            0.137329      |	0.00141814    0.000304011   -0.000202961  |	5.12695e-05   -0.000202961  -0.000304011  |	0.1           |	0             2.3           0:44:25
46            0.140381      |	0.00141825    0.000302847   -0.000206611  |	5.45278e-05   -0.000206611  -0.000302847  |	0.1           |	0             2.4           0:44:25
47            0.143433      |	0.00141838    0.00030171    -0.000210195  |	5.80675e-05   -0.000210195  -0.00030171   |	0.1           |	0             2.4           0:44:24
48            0.146484      |	0.00141849    0.000300594   -0.000213783  |	6.18261e-05   -0.000213783  -0.000300594  |	0.1           |	0             2.5           0:44:22
49            0.149536      |	0.00141861    0.000299516   -0.000217315  |	6.58551e-05   -0.000217315  -0.000299516  |	0.1           |	0             2.5           0:44:20
50            0.152588      |	0.00141873    0.000298463   -0.000220808  |	7.01487e-05   -0.000220808  -0.000298463  |	0.1           |	0             2.6           0:44:25
51            0.15564       |	0.00141885    0.000297443   -0.000224313  |	7.46485e-05   -0.000224313  -0.000297443  |	0.1           |	0             2.6           0:44:24
52            0.158691      |	0.00141897    0.000296467   -0.000227829  |	7.94343e-05   -0.000227829  -0.000296467  |	0.2           |	0             2.7           0:44:21
53            0.161743      |	0.0014191     0.000295546   -0.000231486  |	8.43856e-05   -0.000231486  -0.000295546  |	0.2           |	0             2.7           0:44:18
54            0.164795      |	0.00141922    0.000294665   -0.000234969  |	8.95965e-05   -0.000234969  -0.000294665  |	0.2           |	0             2.8           0:44:14
55            0.167847      |	0.00141934    0.000293831   -0.000238373  |	9.50146e-05   -0.000238373  -0.000293831  |	0.2           |	0             2.8           0:44:11
56            0.170898      |	0.00141947    0.000293017   -0.000241671  |	0.000100639   -0.000241671  -0.000293017  |	0.2           |	0             2.9           0:44:08
57            0.17395       |	0.0014196     0.00029222    -0.000244884  |	0.000106472   -0.000244884  -0.00029222   |	0.2           |	0             2.9           0:44:06
58            0.177002      |	0.00141972    0.000291446   -0.000247993  |	0.000112513   -0.000247993  -0.000291446  |	0.2           |	0             3             0:44:02
59            0.180054      |	0.00141984    0.000290682   -0.00025105   |	0.000118761   -0.00025105   -0.000290682  |	0.2           |	0             3             0:43:59
60            0.183105      |	0.00141997    0.000289917   -0.000254087  |	0.000125186   -0.000254087  -0.000289917  |	0.2           |	0             3.1           0:43:57
61            0.186157      |	0.0014201     0.000289173   -0.000257093  |	0.000131831   -0.000257093  -0.000289173  |	0.2           |	0             3.1           0:43:55
62            0.189209      |	0.00142023    0.000288459   -0.00026012   |	0.000138643   -0.00026012   -0.000288459  |	0.2           |	0             3.2           0:43:52
63            0.192261      |	0.00142037    0.000287738   -0.000263158  |	0.000145642   -0.000263158  -0.000287738  |	0.2           |	0             3.2           0:43:49
64            0.195312      |	0.00142051    0.000287058   -0.000266236  |	0.000152818   -0.000266236  -0.000287058  |	0.2           |	0             3.3           0:43:47
65            0.198364      |	0.00142065    0.000286377   -0.000269336  |	0.000160169   -0.000269336  -0.000286377  |	0.2           |	0             3.3           0:43:45
66            0.201416      |	0.0014208     0.000285755   -0.000272501  |	0.000167654   -0.000272501  -0.000285755  |	0.2           |	0             3.4           0:43:42
67            0.204468      |	0.00142096    0.000285133   -0.000275728  |	0.000175299   -0.000275728  -0.000285133  |	0.2           |	0             3.4           0:43:39
68            0.20752       |	0.00142111    0.000284565   -0.000278997  |	0.000183064   -0.000278997  -0.000284565  |	0.2           |	0             3.5           0:43:37
69            0.210571      |	0.00142127    0.000284023   -0.000282329  |	0.000190948   -0.000282329  -0.000284023  |	0.2           |	0             3.5           0:43:34
70            0.213623      |	0.00142144    0.000283516   -0.000285713  |	0.000198935   -0.000285713  -0.000283516  |	0.2           |	0             3.6           0:43:32
71            0.216675      |	0.00142161    0.000283066   -0.000289127  |	0.000207003   -0.000289127  -0.000283066  |	0.2           |	0             3.6           0:43:34
72            0.219727      |	0.00142178    0.000282623   -0.000292618  |	0.000215149   -0.000292618  -0.000282623  |	0.2           |	0             3.7           0:43:31
73            0.222778      |	0.00142196    0.000282221   -0.000296163  |	0.000223352   -0.000296163  -0.000282221  |	0.2           |	0             3.7           0:43:29
74            0.22583       |	0.00142214    0.000281845   -0.000299741  |	0.000231602   -0.000299741  -0.000281845  |	0.3           |	0             3.8           0:43:26
75            0.228882      |	0.00142232    0.00028152    -0.000303336  |	0.000239876   -0.000303336  -0.00028152   |	0.3           |	0             3.8           0:43:26
76            0.231934      |	0.0014225     0.000281215   -0.000306508  |	0.000248307   -0.000306508  -0.000281215  |	0.4           |	0             3.9           0:43:30
77            0.234985      |	0.00142269    0.000280837   -0.000310177  |	0.000256725   -0.000310177  -0.000280837  |	0.4           |	0             3.9           0:43:33
78            0.238037      |	0.00142288    0.000280535   -0.000314076  |	0.000265075   -0.000314076  -0.000280535  |	0.4           |	0             4             0:43:30
79            0.241089      |	0.00142308    0.000280282   -0.000318269  |	0.000273351   -0.000318269  -0.000280282  |	0.4           |	0             4             0:43:28
80            0.244141      |	0.00142327    0.000280158   -0.00032257   |	0.000281465   -0.00032257   -0.000280158  |	0.4           |	0             4.1           0:43:26
81            0.247192      |	0.00142346    0.000280048   -0.000326937  |	0.000289463   -0.000326937  -0.000280048  |	0.4           |	0             4.1           0:43:24
82            0.250244      |	0.00142366    0.000280109   -0.000331368  |	0.000297277   -0.000331368  -0.000280109  |	0.4           |	0             4.2           0:43:23
83            0.253296      |	0.00142385    0.000280198   -0.00033561   |	0.000304955   -0.00033561   -0.000280198  |	0.5           |	0             4.2           0:43:21
84            0.256348      |	0.00142405    0.000280405   -0.000339832  |	0.000312447   -0.000339832  -0.000280405  |	0.5           |	0             4.3           0:43:18
85            0.259399      |	0.00142422    0.000280582   -0.000343876  |	0.000319751   -0.000343876  -0.000280582  |	0.5           |	0             4.3           0:43:16
86            0.262451      |	0.00142442    0.000280831   -0.000347818  |	0.000326947   -0.000347818  -0.000280831  |	0.5           |	0             4.4           0:43:15
87            0.265503      |	0.00142459    0.000281048   -0.000351583  |	0.000333886   -0.000351583  -0.000281048  |	0.5           |	0             4.4           0:43:13
88            0.268555      |	0.00142477    0.000281234   -0.000355228  |	0.000340753   -0.000355228  -0.000281234  |	0.5           |	0             4.5           0:43:10
89            0.271606      |	0.00142495    0.000281444   -0.000358784  |	0.00034741    -0.000358784  -0.000281444  |	0.5           |	0             4.5           0:43:09
90            0.274658      |	0.00142512    0.000281558   -0.00036225   |	0.000353961   -0.00036225   -0.000281558  |	0.6           |	0             4.6           0:43:07
91            0.27771       |	0.00142531    0.00028164    -0.000366138  |	0.000360227   -0.000366138  -0.00028164   |	0.6           |	0             4.6           0:43:04
