Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Make sigma_0 smaller.

Time start:	Mon Jun 03 12:36:28 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	2.1                 7.00484599916119e-05	steps: 700
Est. CSV size (MB)     :	70.8480834960938
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.1	6	4

CSV file saved:	CSV/20240603_d_sponge_in_terms_of_time_derivative_4_profiles.csv
CSV file saved:	CSV/20240603_d_sponge_in_terms_of_time_derivative_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_d_sponge_in_terms_of_time_derivative_7_BCs.csv
Log file saved:	Logs/20240603_d_sponge_in_terms_of_time_derivative.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
29            0.088501      |	0.00200764    5.63493e-06   -9.955e-06    |	4.81021e-09   -9.955e-06    -5.63493e-06  |	0.1           |	0             4.3           0:16:20
30            0.0915527     |	0.0020081     5.25253e-06   -1.0781e-05   |	3.76169e-09   -1.0781e-05   -5.25253e-06  |	0.1           |	0             4.4           0:16:19
31            0.0946045     |	0.00200858    4.84258e-06   -1.1621e-05   |	2.99143e-09   -1.1621e-05   -4.84258e-06  |	0.1           |	0             4.6           0:16:15
32            0.0976562     |	0.00200906    4.40712e-06   -1.24946e-05  |	2.35415e-09   -1.24946e-05  -4.40712e-06  |	0.1           |	0             4.7           0:16:13
33            0.100708      |	0.00200956    3.94892e-06   -1.34085e-05  |	1.95486e-09   -1.34085e-05  -3.94892e-06  |	0.1           |	0             4.9           0:16:12
34            0.10376       |	0.00201006    3.46599e-06   -1.4338e-05   |	1.93857e-09   -1.4338e-05   -3.46599e-06  |	0.1           |	0             5             0:16:11
35            0.106812      |	0.00201057    2.9617e-06    -1.52961e-05  |	2.26323e-09   -1.52961e-05  -2.9617e-06   |	0.1           |	0             5.1           0:16:10
36            0.109863      |	0.00201109    2.43258e-06   -1.62481e-05  |	3.03437e-09   -1.62481e-05  -2.43258e-06  |	0.1           |	0             5.3           0:16:07
37            0.112915      |	0.00201161    1.88724e-06   -1.72339e-05  |	4.26603e-09   -1.72339e-05  -1.88724e-06  |	0.1           |	0             5.4           0:16:05
38            0.115967      |	0.00201214    1.322e-06     -1.8212e-05   |	6.04965e-09   -1.8212e-05   -1.322e-06    |	0.1           |	0             5.6           0:16:01
39            0.119019      |	0.00201267    7.39866e-07   -1.91989e-05  |	8.36915e-09   -1.91989e-05  -7.39866e-07  |	0.1           |	0             5.7           0:15:57
40            0.12207       |	0.00201321    1.45655e-07   -2.01932e-05  |	1.13614e-08   -2.01932e-05  -1.45655e-07  |	0.1           |	0             5.9           0:15:55
41            0.125122      |	0.00201375    -4.57997e-07  -2.11939e-05  |	1.50785e-08   -2.11939e-05  4.57997e-07   |	0.1           |	0             6             0:15:51
42            0.128174      |	0.0020143     -1.08132e-06  -2.21611e-05  |	1.92831e-08   -2.21611e-05  1.08132e-06   |	0.1           |	0             6.1           0:15:49
43            0.131226      |	0.00201484    -1.70308e-06  -2.31497e-05  |	2.4552e-08    -2.31497e-05  1.70308e-06   |	0.1           |	0             6.3           0:15:45
44            0.134277      |	0.00201538    -2.33266e-06  -2.4118e-05   |	3.04426e-08   -2.4118e-05   2.33266e-06   |	0.1           |	0             6.4           0:15:42
45            0.137329      |	0.00201593    -2.96981e-06  -2.50698e-05  |	3.71346e-08   -2.50698e-05  2.96981e-06   |	0.1           |	0             6.6           0:15:38
46            0.140381      |	0.00201647    -3.60751e-06  -2.60054e-05  |	4.47192e-08   -2.60054e-05  3.60751e-06   |	0.1           |	0             6.7           0:15:36
47            0.143433      |	0.00201701    -4.23389e-06  -2.69484e-05  |	5.35709e-08   -2.69484e-05  4.23389e-06   |	0.1           |	0             6.9           0:15:34
48            0.146484      |	0.00201755    -4.87071e-06  -2.78447e-05  |	6.26393e-08   -2.78447e-05  4.87071e-06   |	0.1           |	0             7             0:15:32
49            0.149536      |	0.00201808    -5.48733e-06  -2.87383e-05  |	7.32399e-08   -2.87383e-05  5.48733e-06   |	0.1           |	0             7.1           0:15:29
50            0.152588      |	0.00201861    -6.09965e-06  -2.96211e-05  |	8.46973e-08   -2.96211e-05  6.09965e-06   |	0.1           |	0             7.3           0:15:27
51            0.15564       |	0.00201913    -6.70201e-06  -3.04613e-05  |	9.66832e-08   -3.04613e-05  6.70201e-06   |	0.1           |	0             7.4           0:15:26
52            0.158691      |	0.00201964    -7.28584e-06  -3.12999e-05  |	1.10197e-07   -3.12999e-05  7.28584e-06   |	0.1           |	0             7.6           0:15:24
53            0.161743      |	0.00202015    -7.8527e-06   -3.21088e-05  |	1.24364e-07   -3.21088e-05  7.8527e-06    |	0.1           |	0             7.7           0:15:22
54            0.164795      |	0.00202065    -8.40707e-06  -3.28895e-05  |	1.39257e-07   -3.28895e-05  8.40707e-06   |	0.1           |	0             7.9           0:15:19
55            0.167847      |	0.00202113    -8.92741e-06  -3.36618e-05  |	1.55766e-07   -3.36618e-05  8.92741e-06   |	0.1           |	0             8             0:15:20
56            0.170898      |	0.00202162    -9.43776e-06  -3.44056e-05  |	1.72414e-07   -3.44056e-05  9.43776e-06   |	0.1           |	0             8.1           0:15:21
57            0.17395       |	0.00202208    -9.86224e-06  -3.50213e-05  |	1.9066e-07    -3.50213e-05  9.86224e-06   |	0.2           |	0             8.3           0:15:20
58            0.177002      |	0.00202253    -1.02154e-05  -3.56262e-05  |	2.11061e-07   -3.56262e-05  1.02154e-05   |	0.2           |	0             8.4           0:15:17
59            0.180054      |	0.00202297    -1.05759e-05  -3.63312e-05  |	2.32568e-07   -3.63312e-05  1.05759e-05   |	0.2           |	0             8.6           0:15:15
60            0.183105      |	0.00202341    -1.09741e-05  -3.70583e-05  |	2.53354e-07   -3.70583e-05  1.09741e-05   |	0.2           |	0             8.7           0:15:13
61            0.186157      |	0.00202382    -1.13671e-05  -3.78679e-05  |	2.75902e-07   -3.78679e-05  1.13671e-05   |	0.2           |	0             8.9           0:15:11
62            0.189209      |	0.00202425    -1.1813e-05   -3.86896e-05  |	2.9554e-07    -3.86896e-05  1.1813e-05    |	0.2           |	0             9             0:15:09
63            0.192261      |	0.00202464    -1.22565e-05  -3.95532e-05  |	3.16079e-07   -3.95532e-05  1.22565e-05   |	0.2           |	0             9.1           0:15:06
64            0.195312      |	0.00202505    -1.2741e-05   -4.03924e-05  |	3.33248e-07   -4.03924e-05  1.2741e-05    |	0.2           |	0             9.3           0:15:04
65            0.198364      |	0.00202545    -1.32439e-05  -4.1175e-05   |	3.48279e-07   -4.1175e-05   1.32439e-05   |	0.2           |	0             9.4           0:15:02
66            0.201416      |	0.00202584    -1.37301e-05  -4.195e-05    |	3.63719e-07   -4.195e-05    1.37301e-05   |	0.2           |	0             9.6           0:15:00
67            0.204468      |	0.00202622    -1.42076e-05  -4.26337e-05  |	3.7564e-07    -4.26337e-05  1.42076e-05   |	0.2           |	0             9.7           0:14:58
68            0.20752       |	0.0020266     -1.46567e-05  -4.32626e-05  |	3.86302e-07   -4.32626e-05  1.46567e-05   |	0.3           |	0             9.9           0:14:56
69            0.210571      |	0.00202696    -1.50511e-05  -4.38662e-05  |	3.96933e-07   -4.38662e-05  1.50511e-05   |	0.2           |	0             10            0:14:53
70            0.213623      |	0.00202732    -1.54045e-05  -4.43723e-05  |	4.04529e-07   -4.43723e-05  1.54045e-05   |	0.2           |	0             10.1          0:14:52
71            0.216675      |	0.00202767    -1.56978e-05  -4.48261e-05  |	4.11802e-07   -4.48261e-05  1.56978e-05   |	0.2           |	0             10.3          0:14:50
72            0.219727      |	0.002028      -1.59226e-05  -4.52166e-05  |	4.18399e-07   -4.52166e-05  1.59226e-05   |	0.3           |	0             10.4          0:14:48
73            0.222778      |	0.00202832    -1.60859e-05  -4.55636e-05  |	4.24135e-07   -4.55636e-05  1.60859e-05   |	0.3           |	0             10.6          0:14:46
74            0.22583       |	0.00202863    -1.61782e-05  -4.58983e-05  |	4.30349e-07   -4.58983e-05  1.61782e-05   |	0.3           |	0             10.7          0:14:44
75            0.228882      |	0.00202894    -1.62122e-05  -4.62067e-05  |	4.36208e-07   -4.62067e-05  1.62122e-05   |	0.3           |	0             10.9          0:14:41
76            0.231934      |	0.00202924    -1.61833e-05  -4.64652e-05  |	4.42004e-07   -4.64652e-05  1.61833e-05   |	0.3           |	0             11            0:14:39
77            0.234985      |	0.00202953    -1.61004e-05  -4.67442e-05  |	4.48355e-07   -4.67442e-05  1.61004e-05   |	0.3           |	0             11.1          0:14:37
78            0.238037      |	0.00202982    -1.59705e-05  -4.70057e-05  |	4.55073e-07   -4.70057e-05  1.59705e-05   |	0.3           |	0             11.3          0:14:35
79            0.241089      |	0.0020301     -1.58e-05     -4.7266e-05   |	4.62262e-07   -4.7266e-05   1.58e-05      |	0.3           |	0             11.4          0:14:33
