Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

It seemed before that the sponge layer had no effect Try it again and see if it at least attenuates the outer boundary. Remember that I'm fixing r_sponge at 0.9 r_max but perhaps I should fix r_sponge on the outer boundary instead, i.e. closer to 1.0 * r_max. Note that cout_i changed here to be on the outer boundary.

Time start:	Thu May 30 14:22:58 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	1.01	6	4

CSV file saved:	CSV/20240530_j_fiducial_100_change_sponge_4_profiles.csv
CSV file saved:	CSV/20240530_j_fiducial_100_change_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240530_j_fiducial_100_change_sponge_7_BCs.csv
Log file saved:	Logs/20240530_j_fiducial_100_change_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
28            0.0854492     |	0.00200676    5.20014e-06   -8.97935e-06  |	8.04209e-09   -8.97935e-06  -5.20014e-06  |	0.1           |	0             5.8           0:11:12
29            0.088501      |	0.00200718    4.81735e-06   -9.73431e-06  |	7.62909e-09   -9.73431e-06  -4.81735e-06  |	0.1           |	0             6             0:11:17
30            0.0915527     |	0.00200761    4.40926e-06   -1.05086e-05  |	7.54348e-09   -1.05086e-05  -4.40926e-06  |	0.1           |	0             6.2           0:11:15
31            0.0946045     |	0.00200804    3.97629e-06   -1.12988e-05  |	7.75753e-09   -1.12988e-05  -3.97629e-06  |	0.1           |	0             6.4           0:11:14
32            0.0976562     |	0.00200848    3.52159e-06   -1.21256e-05  |	8.21352e-09   -1.21256e-05  -3.52159e-06  |	0.1           |	0             6.6           0:11:18
33            0.100708      |	0.00200893    3.04426e-06   -1.29682e-05  |	9.08582e-09   -1.29682e-05  -3.04426e-06  |	0.1           |	0             6.8           0:11:15
34            0.10376       |	0.00200939    2.54795e-06   -1.38445e-05  |	1.03504e-08   -1.38445e-05  -2.54795e-06  |	0.1           |	0             7             0:11:13
35            0.106812      |	0.00200985    2.02658e-06   -1.46788e-05  |	1.21883e-08   -1.46788e-05  -2.02658e-06  |	0.1           |	0             7.2           0:11:10
36            0.109863      |	0.00201032    1.49316e-06   -1.55741e-05  |	1.44396e-08   -1.55741e-05  -1.49316e-06  |	0.1           |	0             7.4           0:11:08
37            0.112915      |	0.00201078    9.44985e-07   -1.64555e-05  |	1.73475e-08   -1.64555e-05  -9.44985e-07  |	0.1           |	0             7.6           0:11:16
38            0.115967      |	0.00201126    3.80102e-07   -1.735e-05    |	2.07542e-08   -1.735e-05    -3.80102e-07  |	0.1           |	0             7.8           0:11:24
39            0.119019      |	0.00201174    -1.99072e-07  -1.82261e-05  |	2.48124e-08   -1.82261e-05  1.99072e-07   |	0.1           |	0             8             0:11:26
40            0.12207       |	0.00201221    -7.83143e-07  -1.91219e-05  |	2.96745e-08   -1.91219e-05  7.83143e-07   |	0.1           |	0             8.2           0:11:26
41            0.125122      |	0.00201269    -1.37798e-06  -1.99962e-05  |	3.51448e-08   -1.99962e-05  1.37798e-06   |	0.1           |	0             8.4           0:11:25
42            0.128174      |	0.00201318    -1.97803e-06  -2.08814e-05  |	4.13693e-08   -2.08814e-05  1.97803e-06   |	0.1           |	0             8.6           0:11:23
43            0.131226      |	0.00201366    -2.586e-06    -2.17264e-05  |	4.83063e-08   -2.17264e-05  2.586e-06     |	0.1           |	0             8.8           0:11:21
44            0.134277      |	0.00201413    -3.18817e-06  -2.25958e-05  |	5.62778e-08   -2.25958e-05  3.18817e-06   |	0.1           |	0             9             0:11:18
45            0.137329      |	0.00201462    -3.79943e-06  -2.34146e-05  |	6.46928e-08   -2.34146e-05  3.79943e-06   |	0.1           |	0             9.2           0:11:17
46            0.140381      |	0.00201509    -4.39344e-06  -2.42667e-05  |	7.45074e-08   -2.42667e-05  4.39344e-06   |	0.1           |	0             9.4           0:11:15
47            0.143433      |	0.00201556    -4.99462e-06  -2.50667e-05  |	8.44767e-08   -2.50667e-05  4.99462e-06   |	0.1           |	0             9.6           0:11:14
48            0.146484      |	0.00201603    -5.58553e-06  -2.58622e-05  |	9.56839e-08   -2.58622e-05  5.58553e-06   |	0.1           |	0             9.8           0:11:12
49            0.149536      |	0.00201649    -6.15974e-06  -2.6655e-05   |	1.07806e-07   -2.6655e-05   6.15974e-06   |	0.1           |	0             10            0:11:09
50            0.152588      |	0.00201695    -6.73289e-06  -2.74078e-05  |	1.20367e-07   -2.74078e-05  6.73289e-06   |	0.1           |	0             10.2          0:11:07
51            0.15564       |	0.0020174     -7.27726e-06  -2.81716e-05  |	1.34274e-07   -2.81716e-05  7.27726e-06   |	0.1           |	0             10.4          0:11:04
52            0.158691      |	0.00201785    -7.7649e-06   -2.87168e-05  |	1.48284e-07   -2.87168e-05  7.7649e-06    |	0.2           |	0             10.6          0:11:02
53            0.161743      |	0.00201828    -8.14489e-06  -2.92149e-05  |	1.64949e-07   -2.92149e-05  8.14489e-06   |	0.2           |	0             10.8          0:10:59
54            0.164795      |	0.00201872    -8.54749e-06  -2.97773e-05  |	1.8171e-07    -2.97773e-05  8.54749e-06   |	0.2           |	0             11            0:10:56
55            0.167847      |	0.00201913    -8.92049e-06  -3.04547e-05  |	2.01399e-07   -3.04547e-05  8.92049e-06   |	0.2           |	0             11.2          0:10:54
56            0.170898      |	0.00201955    -9.3304e-06   -3.11791e-05  |	2.20332e-07   -3.11791e-05  9.3304e-06    |	0.2           |	0             11.4          0:10:51
57            0.17395       |	0.00201996    -9.77645e-06  -3.19946e-05  |	2.39641e-07   -3.19946e-05  9.77645e-06   |	0.2           |	0             11.6          0:10:50
58            0.177002      |	0.00202037    -1.02581e-05  -3.28999e-05  |	2.59501e-07   -3.28999e-05  1.02581e-05   |	0.2           |	0             11.8          0:10:48
59            0.180054      |	0.00202077    -1.07795e-05  -3.38226e-05  |	2.78567e-07   -3.38226e-05  1.07795e-05   |	0.2           |	0             12            0:10:47
60            0.183105      |	0.00202116    -1.13311e-05  -3.47063e-05  |	2.96288e-07   -3.47063e-05  1.13311e-05   |	0.2           |	0             12.2          0:10:46
61            0.186157      |	0.00202155    -1.19101e-05  -3.56446e-05  |	3.13414e-07   -3.56446e-05  1.19101e-05   |	0.2           |	0             12.4          0:10:45
62            0.189209      |	0.00202192    -1.24968e-05  -3.65103e-05  |	3.29319e-07   -3.65103e-05  1.24968e-05   |	0.2           |	0             12.6          0:10:42
63            0.192261      |	0.00202227    -1.30779e-05  -3.73171e-05  |	3.43635e-07   -3.73171e-05  1.30779e-05   |	0.2           |	0             12.8          0:10:40
64            0.195312      |	0.00202262    -1.3642e-05   -3.80947e-05  |	3.56339e-07   -3.80947e-05  1.3642e-05    |	0.2           |	0             13            0:10:37
65            0.198364      |	0.00202295    -1.41818e-05  -3.88064e-05  |	3.6701e-07    -3.88064e-05  1.41818e-05   |	0.2           |	0             13.2          0:10:35
66            0.201416      |	0.00202325    -1.46755e-05  -3.94398e-05  |	3.76339e-07   -3.94398e-05  1.46755e-05   |	0.2           |	0             13.4          0:10:33
67            0.204468      |	0.00202355    -1.51276e-05  -4.00141e-05  |	3.83522e-07   -4.00141e-05  1.51276e-05   |	0.2           |	0             13.6          0:10:31
68            0.20752       |	0.00202382    -1.55261e-05  -4.05196e-05  |	3.88834e-07   -4.05196e-05  1.55261e-05   |	0.2           |	0             13.8          0:10:29
69            0.210571      |	0.00202408    -1.58654e-05  -4.09538e-05  |	3.92232e-07   -4.09538e-05  1.58654e-05   |	0.2           |	0             14            0:10:27
70            0.213623      |	0.00202432    -1.61395e-05  -4.13155e-05  |	3.93718e-07   -4.13155e-05  1.61395e-05   |	0.2           |	0             14.2          0:10:25
71            0.216675      |	0.00202455    -1.63504e-05  -4.1603e-05   |	3.93047e-07   -4.1603e-05   1.63504e-05   |	0.2           |	0             14.4          0:10:23
72            0.219727      |	0.00202476    -1.64935e-05  -4.18488e-05  |	3.91732e-07   -4.18488e-05  1.64935e-05   |	0.2           |	0             14.6          0:10:21
73            0.222778      |	0.00202495    -1.65803e-05  -4.19922e-05  |	3.87413e-07   -4.19922e-05  1.65803e-05   |	0.2           |	0             14.8          0:10:19
74            0.22583       |	0.00202514    -1.65942e-05  -4.21042e-05  |	3.8283e-07    -4.21042e-05  1.65942e-05   |	0.3           |	0             15            0:10:16
75            0.228882      |	0.00202531    -1.66057e-05  -4.26741e-05  |	3.84484e-07   -4.26741e-05  1.66057e-05   |	0.3           |	0             15.2          0:10:14
76            0.231934      |	0.00202548    -1.6591e-05   -4.3002e-05   |	3.81604e-07   -4.3002e-05   1.6591e-05    |	0.4           |	0             15.4          0:10:12
77            0.234985      |	0.00202563    -1.6456e-05   -4.28089e-05  |	3.70639e-07   -4.28089e-05  1.6456e-05    |	0.4           |	0             15.6          0:10:10
78            0.238037      |	0.00202574    -1.61414e-05  -4.23488e-05  |	3.57378e-07   -4.23488e-05  1.61414e-05   |	0.4           |	0             15.8          0:10:09
79            0.241089      |	0.00202584    -1.56911e-05  -4.15645e-05  |	3.39074e-07   -4.15645e-05  1.56911e-05   |	0.4           |	0             16            0:10:09
80            0.244141      |	0.00202597    -1.52307e-05  -4.06847e-05  |	3.22252e-07   -4.06847e-05  1.52307e-05   |	0.4           |	0             16.2          0:10:08
81            0.247192      |	0.00202606    -1.45949e-05  -3.96519e-05  |	3.07238e-07   -3.96519e-05  1.45949e-05   |	0.4           |	0             16.4          0:10:06
82            0.250244      |	0.00202616    -1.39034e-05  -3.88053e-05  |	2.95616e-07   -3.88053e-05  1.39034e-05   |	0.4           |	0             16.6          0:10:04
83            0.253296      |	0.00202628    -1.32253e-05  -3.79647e-05  |	2.87086e-07   -3.79647e-05  1.32253e-05   |	0.5           |	0             16.8          0:10:02
84            0.256348      |	0.00202638    -1.25121e-05  -3.73386e-05  |	2.84163e-07   -3.73386e-05  1.25121e-05   |	0.5           |	0             17            0:10:00
85            0.259399      |	0.00202654    -1.18674e-05  -3.68017e-05  |	2.8176e-07    -3.68017e-05  1.18674e-05   |	0.5           |	0             17.2          0:09:58
86            0.262451      |	0.00202667    -1.12304e-05  -3.6523e-05   |	2.86017e-07   -3.6523e-05   1.12304e-05   |	0.5           |	0             17.4          0:09:56
87            0.265503      |	0.00202682    -1.06379e-05  -3.63024e-05  |	2.8929e-07    -3.63024e-05  1.06379e-05   |	0.5           |	0             17.6          0:09:54
88            0.268555      |	0.00202696    -1.0077e-05   -3.62712e-05  |	2.95102e-07   -3.62712e-05  1.0077e-05    |	0.5           |	0             17.8          0:09:53
89            0.271606      |	0.00202714    -9.61568e-06  -3.64037e-05  |	2.99443e-07   -3.64037e-05  9.61568e-06   |	0.5           |	0             18            0:09:51
90            0.274658      |	0.00202728    -9.1364e-06   -3.58846e-05  |	2.98572e-07   -3.58846e-05  9.1364e-06    |	0.6           |	0             18.2          0:09:49
91            0.27771       |	0.00202746    -8.78553e-06  -3.56714e-05  |	2.97081e-07   -3.56714e-05  8.78553e-06   |	0.6           |	0             18.4          0:09:47
92            0.280762      |	0.0020276     -8.43593e-06  -3.61546e-05  |	3.0011e-07    -3.61546e-05  8.43593e-06   |	0.6           |	0             18.6          0:09:45
