Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Same as 20240610_e but with the 1/r and 1/rsintheta not included, to enable a direct comparison.

Time start:	Tue Jun 11 10:06:33 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	10.1211547851562
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240611_a_without_rsintheta_4_profiles.csv
CSV file saved:	CSV/20240611_a_without_rsintheta_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240611_a_without_rsintheta_7_BCs.csv
Log file saved:	Logs/20240611_a_without_rsintheta.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
35            0.106812      |	0.00140802    0.000136647   0.000364441   |	0.000335184   0.000364441   -0.000136647  |	0             |	0             7.2           0:14:16
36            0.109863      |	0.00140793    0.000136119   0.000364047   |	0.000335903   0.000364047   -0.000136119  |	0             |	0             7.4           0:14:09
37            0.112915      |	0.00140784    0.000135046   0.000364499   |	0.000336143   0.000364499   -0.000135046  |	0             |	0             7.6           0:14:12
38            0.115967      |	0.00140776    0.000134876   0.000365584   |	0.000335893   0.000365584   -0.000134876  |	0             |	0             7.8           0:14:08
39            0.119019      |	0.00140767    0.000135618   0.000365922   |	0.000335176   0.000365922   -0.000135618  |	0             |	0             8             0:14:04
40            0.12207       |	0.00140758    0.00013591    0.000365276   |	0.00033399    0.000365276   -0.00013591   |	0             |	0             8.2           0:14:02
41            0.125122      |	0.00140749    0.000135317   0.000365076   |	0.000332381   0.000365076   -0.000135317  |	0             |	0             8.4           0:13:56
42            0.128174      |	0.00140739    0.000135318   0.000365795   |	0.000330357   0.000365795   -0.000135318  |	0             |	0             8.6           0:13:50
43            0.131226      |	0.0014073     0.000136452   0.000366039   |	0.00032789    0.000366039   -0.000136452  |	0             |	0             8.8           0:13:45
44            0.134277      |	0.00140721    0.000137318   0.000365052   |	0.00032501    0.000365052   -0.000137318  |	0             |	0             9             0:13:40
45            0.137329      |	0.0014071     0.000136988   0.000364412   |	0.00032179    0.000364412   -0.000136988  |	0             |	0             9.2           0:13:36
46            0.140381      |	0.001407      0.000137244   0.000364911   |	0.000318189   0.000364911   -0.000137244  |	0             |	0             9.4           0:13:34
47            0.143433      |	0.00140692    0.000138682   0.000365034   |	0.000314262   0.000365034   -0.000138682  |	0             |	0             9.6           0:13:32
48            0.146484      |	0.00140681    0.00014006    0.000363859   |	0.00030997    0.000363859   -0.00014006   |	0             |	0             9.8           0:13:27
49            0.149536      |	0.0014067     0.000140198   0.000362726   |	0.000305442   0.000362726   -0.000140198  |	0             |	0             10            0:13:21
50            0.152588      |	0.00140659    0.000140448   0.000362935   |	0.000300629   0.000362935   -0.000140448  |	0             |	0             10.2          0:13:18
51            0.15564       |	0.00140649    0.000142032   0.000362896   |	0.000295518   0.000362896   -0.000142032  |	0.1           |	0             10.4          0:13:14
52            0.158691      |	0.00140639    0.000143541   0.000361786   |	0.000290151   0.000361786   -0.000143541  |	0.1           |	0             10.6          0:13:09
53            0.161743      |	0.00140628    0.000144113   0.000360593   |	0.000284611   0.000360593   -0.000144113  |	0.1           |	0             10.8          0:13:04
54            0.164795      |	0.00140617    0.000144802   0.000360265   |	0.000278867   0.000360265   -0.000144802  |	0.1           |	0             11            0:13:01
55            0.167847      |	0.00140605    0.000146232   0.000359964   |	0.000272945   0.000359964   -0.000146232  |	0.2           |	0             11.2          0:13:00
56            0.170898      |	0.00140596    0.000147848   0.000359057   |	0.000266881   0.000359057   -0.000147848  |	0.2           |	0             11.4          0:13:00
57            0.17395       |	0.00140586    0.000148982   0.000358024   |	0.000260783   0.000358024   -0.000148982  |	0.2           |	0             11.6          0:12:57
58            0.177002      |	0.00140574    0.000150216   0.000357279   |	0.000254593   0.000357279   -0.000150216  |	0.2           |	0             11.8          0:12:57
59            0.180054      |	0.00140562    0.000151474   0.000356322   |	0.000248359   0.000356322   -0.000151474  |	0.2           |	0             12            0:12:55
60            0.183105      |	0.00140554    0.000152484   0.000355549   |	0.000242153   0.000355549   -0.000152484  |	0.2           |	0             12.2          0:12:53
61            0.186157      |	0.00140542    0.000153699   0.000354966   |	0.000235964   0.000354966   -0.000153699  |	0.2           |	0             12.4          0:12:49
62            0.189209      |	0.00140531    0.000155331   0.000354242   |	0.000229812   0.000354242   -0.000155331  |	0.2           |	0             12.6          0:12:48
63            0.192261      |	0.00140519    0.00015663    0.00035285    |	0.00022374    0.00035285    -0.00015663   |	0.2           |	0             12.8          0:12:46
64            0.195312      |	0.00140508    0.000157133   0.000351793   |	0.000217755   0.000351793   -0.000157133  |	0.2           |	0             13            0:12:43
65            0.198364      |	0.00140497    0.000157745   0.000351674   |	0.000211909   0.000351674   -0.000157745  |	0.2           |	0             13.2          0:12:39
66            0.201416      |	0.00140485    0.000159638   0.000351498   |	0.000206171   0.000351498   -0.000159638  |	0.2           |	0             13.4          0:12:35
67            0.204468      |	0.00140474    0.000161408   0.000349858   |	0.000200566   0.000349858   -0.000161408  |	0.2           |	0             13.6          0:12:30
68            0.20752       |	0.00140461    0.000161417   0.000348201   |	0.00019516    0.000348201   -0.000161417  |	0.2           |	0             13.8          0:12:26
69            0.210571      |	0.00140451    0.00016122    0.00034852    |	0.000189952   0.00034852    -0.00016122   |	0.2           |	0             14            0:12:22
70            0.213623      |	0.00140438    0.000163071   0.000349085   |	0.000184891   0.000349085   -0.000163071  |	0.2           |	0             14.2          0:12:18
71            0.216675      |	0.00140426    0.00016534    0.000347548   |	0.00018004    0.000347548   -0.00016534   |	0.2           |	0             14.4          0:12:14
72            0.219727      |	0.00140415    0.00016532    0.000345383   |	0.000175544   0.000345383   -0.00016532   |	0.2           |	0             14.6          0:12:10
73            0.222778      |	0.00140403    0.000164117   0.000345468   |	0.000171299   0.000345468   -0.000164117  |	0.2           |	0             14.8          0:12:06
74            0.22583       |	0.00140391    0.0001654     0.000347044   |	0.000167237   0.000347044   -0.0001654    |	0.2           |	0             15            0:12:02
75            0.228882      |	0.0014038     0.000168197   0.00034605    |	0.000163477   0.00034605    -0.000168197  |	0.3           |	0             15.2          0:11:59
76            0.231934      |	0.00140368    0.000168654   0.000343355   |	0.000160146   0.000343355   -0.000168654  |	0.3           |	0             15.4          0:11:55
77            0.234985      |	0.00140359    0.000166476   0.000342965   |	0.000157258   0.000342965   -0.000166476  |	0.4           |	0             15.6          0:11:52
78            0.238037      |	0.00140345    0.000166531   0.000345204   |	0.000154601   0.000345204   -0.000166531  |	0.4           |	0             15.8          0:11:48
79            0.241089      |	0.00140334    0.000169025   0.000345163   |	0.000152124   0.000345163   -0.000169025  |	0.4           |	0             16            0:11:45
80            0.244141      |	0.00140323    0.000169521   0.000342742   |	0.000150125   0.000342742   -0.000169521  |	0.4           |	0             16.2          0:11:42
81            0.247192      |	0.00140311    0.000167151   0.000342137   |	0.00014836    0.000342137   -0.000167151  |	0.4           |	0             16.4          0:11:38
82            0.250244      |	0.00140301    0.000166533   0.000344612   |	0.000146858   0.000344612   -0.000166533  |	0.5           |	0             16.6          0:11:35
83            0.253296      |	0.00140288    0.00016922    0.000345443   |	0.000145566   0.000345443   -0.00016922   |	0.5           |	0             16.8          0:11:32
84            0.256348      |	0.00140274    0.000170177   0.00034303    |	0.000144838   0.00034303    -0.000170177  |	0.5           |	0             17            0:11:28
85            0.259399      |	0.00140264    0.000167819   0.000341897   |	0.00014454    0.000341897   -0.000167819  |	0.5           |	0             17.2          0:11:27
86            0.262451      |	0.00140258    0.000166304   0.000344215   |	0.000144569   0.000344215   -0.000166304  |	0.5           |	0             17.4          0:11:25
87            0.265503      |	0.00140245    0.000168189   0.000345846   |	0.000144986   0.000345846   -0.000168189  |	0.5           |	0             17.6          0:11:22
88            0.268555      |	0.00140227    0.000169389   0.000344063   |	0.00014598    0.000344063   -0.000169389  |	0.5           |	0             17.8          0:11:19
89            0.271606      |	0.00140218    0.000166905   0.000342712   |	0.000147513   0.000342712   -0.000166905  |	0.5           |	0             18            0:11:16
90            0.274658      |	0.00140212    0.000164584   0.00034482    |	0.00014943    0.00034482    -0.000164584  |	0.6           |	0             18.2          0:11:13
91            0.27771       |	0.00140203    0.000164865   0.000346861   |	0.000151638   0.000346861   -0.000164865  |	0.6           |	0             18.4          0:11:10
92            0.280762      |	0.00140185    0.000165968   0.00034659    |	0.000154376   0.00034659    -0.000165968  |	0.6           |	0             18.6          0:11:07
93            0.283813      |	0.00140173    0.000164281   0.000345249   |	0.00015768    0.000345249   -0.000164281  |	0.7           |	0             18.8          0:11:04
94            0.286865      |	0.00140166    0.000161858   0.000346865   |	0.000161607   0.000346865   -0.000161858  |	0.7           |	0             19            0:11:01
95            0.289917      |	0.00140161    0.000161518   0.000348657   |	0.000165859   0.000348657   -0.000161518  |	0.7           |	0             19.2          0:10:58
96            0.292969      |	0.00140147    0.000161207   0.000348596   |	0.000170802   0.000348596   -0.000161207  |	0.7           |	0             19.4          0:10:56
97            0.296021      |	0.00140133    0.000158698   0.000348394   |	0.000176319   0.000348394   -0.000158698  |	0.7           |	0             19.6          0:10:53
98            0.299072      |	0.00140121    0.000155853   0.000350308   |	0.000182185   0.000350308   -0.000155853  |	0.7           |	0             19.8          0:10:50
99            0.302124      |	0.00140114    0.000154791   0.00035219    |	0.000188516   0.00035219    -0.000154791  |	0.7           |	0             20            0:10:47
100           0.305176      |	0.00140104    0.000153276   0.000352701   |	0.000195236   0.000352701   -0.000153276  |	0.7           |	0             20.2          0:10:45
101           0.308228      |	0.00140087    0.00015037    0.000353465   |	0.000202314   0.000353465   -0.00015037   |	0.8           |	0             20.4          0:10:42
102           0.311279      |	0.00140075    0.000148066   0.000355771   |	0.000209618   0.000355771   -0.000148066  |	0.9           |	0             20.6          0:10:40
103           0.314331      |	0.00140065    0.000146673   0.000357338   |	0.000217228   0.000357338   -0.000146673  |	0.9           |	0             20.8          0:10:38
104           0.317383      |	0.00140057    0.000144323   0.000357979   |	0.000225148   0.000357979   -0.000144323  |	0.9           |	0             21            0:10:35
105           0.320435      |	0.00140041    0.000141137   0.000359634   |	0.000233209   0.000359634   -0.000141137  |	1             |	0             21.2          0:10:33
106           0.323486      |	0.00140029    0.000138679   0.00036204    |	0.000241341   0.00036204    -0.000138679  |	1             |	0             21.4          0:10:30
107           0.326538      |	0.00140016    0.000137279   0.00036395    |	0.000249722   0.00036395    -0.000137279  |	1.1           |	0             21.6          0:10:28
108           0.32959       |	0.00140006    0.000135033   0.000364813   |	0.000258151   0.000364813   -0.000135033  |	1.1           |	0             21.8          0:10:26
109           0.332642      |	0.00139995    0.000132284   0.000366501   |	0.000266736   0.000366501   -0.000132284  |	1.1           |	0             22            0:10:23
110           0.335693      |	0.00139986    0.000130305   0.000368884   |	0.000275523   0.000368884   -0.000130305  |	1.1           |	0             22.2          0:10:21
