Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

It seemed before that the sponge layer had no effect Try it again and see if it at least attenuates the outer boundary. Remember that I'm fixing r_sponge at 0.9 r_max but perhaps I should fix r_sponge on the outer boundary instead, i.e. closer to 1.0 * r_max. Note that cout_i changed here to be on the outer boundary.

Time start:	Thu May 30 14:34:38 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	1	6	4

CSV file saved:	CSV/20240530_k_fiducial_100_change_sponge_4_profiles.csv
CSV file saved:	CSV/20240530_k_fiducial_100_change_sponge_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240530_k_fiducial_100_change_sponge_7_BCs.csv
Log file saved:	Logs/20240530_k_fiducial_100_change_sponge.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
28            0.0854492     |	0.00200676    5.20564e-06   -8.98192e-06  |	8.0032e-09    -8.98192e-06  -5.20564e-06  |	0.1           |	0             5.8           0:13:13
29            0.088501      |	0.00200718    4.82287e-06   -9.7372e-06   |	7.58685e-09   -9.7372e-06   -4.82287e-06  |	0.1           |	0             6             0:13:06
30            0.0915527     |	0.00200761    4.41478e-06   -1.05118e-05  |	7.49807e-09   -1.05118e-05  -4.41478e-06  |	0.1           |	0             6.2           0:13:00
31            0.0946045     |	0.00200805    3.98179e-06   -1.13024e-05  |	7.70921e-09   -1.13024e-05  -3.98179e-06  |	0.1           |	0             6.4           0:12:56
32            0.0976562     |	0.00200849    3.52705e-06   -1.21297e-05  |	8.16253e-09   -1.21297e-05  -3.52705e-06  |	0.1           |	0             6.6           0:12:50
33            0.100708      |	0.00200894    3.04965e-06   -1.29727e-05  |	9.03259e-09   -1.29727e-05  -3.04965e-06  |	0.1           |	0             6.8           0:12:44
34            0.10376       |	0.00200939    2.55327e-06   -1.38495e-05  |	1.02954e-08   -1.38495e-05  -2.55327e-06  |	0.1           |	0             7             0:12:39
35            0.106812      |	0.00200986    2.03177e-06   -1.46843e-05  |	1.21321e-08   -1.46843e-05  -2.03177e-06  |	0.1           |	0             7.2           0:12:34
36            0.109863      |	0.00201032    1.49823e-06   -1.55801e-05  |	1.43831e-08   -1.55801e-05  -1.49823e-06  |	0.1           |	0             7.4           0:12:29
37            0.112915      |	0.00201079    9.49893e-07   -1.64621e-05  |	1.72912e-08   -1.64621e-05  -9.49893e-07  |	0.1           |	0             7.6           0:12:24
38            0.115967      |	0.00201127    3.84853e-07   -1.73572e-05  |	2.06996e-08   -1.73572e-05  -3.84853e-07  |	0.1           |	0             7.8           0:12:19
39            0.119019      |	0.00201175    -1.94507e-07  -1.82339e-05  |	2.47602e-08   -1.82339e-05  1.94507e-07   |	0.1           |	0             8             0:12:15
40            0.12207       |	0.00201222    -7.78786e-07  -1.91304e-05  |	2.96259e-08   -1.91304e-05  7.78786e-07   |	0.1           |	0             8.2           0:12:11
41            0.125122      |	0.0020127     -1.37385e-06  -2.00053e-05  |	3.51011e-08   -2.00053e-05  1.37385e-06   |	0.1           |	0             8.4           0:12:07
42            0.128174      |	0.00201318    -1.97411e-06  -2.08912e-05  |	4.13328e-08   -2.08912e-05  1.97411e-06   |	0.1           |	0             8.6           0:12:03
43            0.131226      |	0.00201367    -2.58236e-06  -2.1737e-05   |	4.82767e-08   -2.1737e-05   2.58236e-06   |	0.1           |	0             8.8           0:11:59
44            0.134277      |	0.00201414    -3.18478e-06  -2.2607e-05   |	5.62586e-08   -2.2607e-05   3.18478e-06   |	0.1           |	0             9             0:11:55
45            0.137329      |	0.00201463    -3.79522e-06  -2.3432e-05   |	6.46981e-08   -2.3432e-05   3.79522e-06   |	0.1           |	0             9.2           0:11:51
46            0.140381      |	0.0020151     -4.39107e-06  -2.42788e-05  |	7.4476e-08    -2.42788e-05  4.39107e-06   |	0.1           |	0             9.4           0:11:49
