Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Now convinced that my original conversion from spherical polar to Cartesian vector components was correct. Remove the function call of void calculate_Cartesian_vector_components() and just write the expressions again since they are only simple.

Time start:	Mon Jun 10 14:04:39 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[250] ) = ( 10.0032958984375, 0.786968959724243 ) = ( 10.0032958984375, 0.2505 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.8	6	4

CSV file saved:	CSV/20240610_b_rewrite_outer_BCs_4_profiles.csv
CSV file saved:	CSV/20240610_b_rewrite_outer_BCs_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240610_b_rewrite_outer_BCs_7_BCs.csv
Log file saved:	Logs/20240610_b_rewrite_outer_BCs.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
30            0.0915527     |	0.00141112    -4.40472e-06  6.62172e-05   |	0.000192098   4.68961e-05   6.21946e-06   |	0             |	0             6.2           0:12:28
31            0.0946045     |	0.00141115    -4.29497e-06  6.63498e-05   |	0.000197248   4.69901e-05   6.06449e-06   |	0             |	0             6.4           0:12:25
32            0.0976562     |	0.00141116    -4.1109e-06   6.62907e-05   |	0.0002023     4.69482e-05   5.80459e-06   |	0             |	0             6.6           0:12:20
33            0.100708      |	0.00141118    -5.13879e-06  6.62959e-05   |	0.000207243   4.69519e-05   7.25596e-06   |	0             |	0             6.8           0:12:17
34            0.10376       |	0.00141119    -5.66748e-06  6.6472e-05    |	0.000212154   4.70766e-05   8.00247e-06   |	0             |	0             7             0:12:15
35            0.106812      |	0.00141122    -4.96347e-06  6.66753e-05   |	0.000216944   4.72206e-05   7.00841e-06   |	0             |	0             7.2           0:12:11
36            0.109863      |	0.00141125    -4.29499e-06  6.64975e-05   |	0.000221612   4.70946e-05   6.06452e-06   |	0             |	0             7.4           0:12:07
37            0.112915      |	0.00141126    -6.36447e-06  6.64175e-05   |	0.000226201   4.7038e-05    8.98661e-06   |	0             |	0             7.6           0:12:04
38            0.115967      |	0.00141128    -7.48256e-06  6.67573e-05   |	0.0002308     4.72787e-05   1.05654e-05   |	0             |	0             7.8           0:12:02
39            0.119019      |	0.00141129    -5.27056e-06  6.7126e-05    |	0.000235248   4.75398e-05   7.44202e-06   |	0             |	0             8             0:11:59
40            0.12207       |	0.00141135    -3.47219e-06  6.6674e-05    |	0.000239512   4.72196e-05   4.90273e-06   |	0             |	0             8.2           0:11:58
41            0.125122      |	0.00141135    -8.01653e-06  6.63553e-05   |	0.000243764   4.69939e-05   1.13193e-05   |	0             |	0             8.4           0:11:55
42            0.128174      |	0.00141135    -1.07707e-05  6.71022e-05   |	0.000248159   4.75229e-05   1.52082e-05   |	0             |	0             8.6           0:11:53
43            0.131226      |	0.00141138    -4.73391e-06  6.78567e-05   |	0.000252262   4.80573e-05   6.68426e-06   |	0             |	0             8.8           0:11:53
44            0.134277      |	0.00141145    -1.82433e-07  6.6754e-05    |	0.000256073   4.72763e-05   2.57596e-07   |	0             |	0             9             0:11:51
45            0.137329      |	0.00141147    -1.08462e-05  6.5828e-05    |	0.000260017   4.66205e-05   1.53148e-05   |	0             |	0             9.2           0:11:47
46            0.140381      |	0.00141142    -1.78374e-05  6.75869e-05   |	0.000264506   4.78661e-05   2.51864e-05   |	0             |	0             9.4           0:11:44
47            0.143433      |	0.00141141    -2.26231e-06  6.92878e-05   |	0.00026825    4.90708e-05   3.19438e-06   |	0             |	0             9.6           0:11:41
48            0.146484      |	0.0014116     9.22872e-06   6.66008e-05   |	0.000271551   4.71678e-05   -1.30309e-05  |	0.1           |	0             9.8           0:11:38
49            0.149536      |	0.00141158    -1.66276e-05  6.40662e-05   |	0.000275236   4.53728e-05   2.34782e-05   |	0             |	0             10            0:11:34
50            0.152588      |	0.00141136    -3.45648e-05  6.84e-05      |	0.000280864   4.8442e-05    4.88054e-05   |	0.1           |	0             10.2          0:11:32
51            0.15564       |	0.00141137    4.70738e-06   7.25617e-05   |	0.000284289   5.13894e-05   -6.64681e-06  |	0.1           |	0             10.4          0:11:29
52            0.158691      |	0.00141175    3.37993e-05   6.59422e-05   |	0.000287524   4.67014e-05   -4.77246e-05  |	0.2           |	0             10.6          0:11:26
53            0.161743      |	0.00141156    -2.9656e-05   5.89455e-05   |	0.000291113   4.17462e-05   4.18743e-05   |	0.1           |	0             10.8          0:11:23
54            0.164795      |	0.00141117    -7.59063e-05  7.05094e-05   |	0.000302452   4.99359e-05   0.00010718    |	0.3           |	0             11            0:11:20
55            0.167847      |	0.00141155    2.27316e-05   8.1356e-05    |	0.000306869   5.76177e-05   -3.2097e-05   |	0.3           |	0             11.2          0:11:17
56            0.170898      |	0.00141189    9.66201e-05   6.27553e-05   |	0.000313731   4.44443e-05   -0.000136427  |	0.3           |	0             11.4          0:11:14
57            0.17395       |	0.00141131    -6.08576e-05  4.60032e-05   |	0.000319726   3.25802e-05   8.59308e-05   |	0.3           |	0             11.6          0:11:13
58            0.177002      |	0.00141082    -0.000180289  7.59902e-05   |	0.000358547   5.38175e-05   0.000254567   |	0.3           |	0             11.8          0:11:10
59            0.180054      |	0.00141191    6.83251e-05   0.000102739   |	0.000368059   7.27612e-05   -9.64748e-05  |	0.3           |	0             12            0:11:08
60            0.183105      |	0.00141204    0.00025447    5.49898e-05   |	0.000415267   3.89447e-05   -0.000359311  |	0.4           |	0             12.2          0:11:07
61            0.186157      |	0.00141036    -0.000136714  1.3538e-05    |	0.000435259   9.58787e-06   0.00019304    |	0.3           |	0             12.4          0:11:05
62            0.189209      |	0.00140981    -0.000449662  8.89022e-05   |	0.000619809   6.2962e-05    0.000634922   |	0.4           |	0             12.6          0:11:02
63            0.192261      |	0.00141295    0.000171105   0.000159032   |	0.000657846   0.000112629   -0.0002416    |	0.3           |	0             12.8          0:10:59
64            0.195312      |	0.00141326    0.000647092   4.0449e-05    |	0.000963528   2.86466e-05   -0.000913693  |	0.5           |	0             13            0:10:57
65            0.198364      |	0.00140782    -0.000337109  -7.22152e-05  |	0.00105087    -5.1144e-05   0.000475997   |	0.3           |	0             13.2          0:10:54
