Setting delta_T to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0030517578125 from 0.003
Setting delta_r to a sum of reciprocal powers of 2 to avoid floating point errors:	0.0909423828125 from 0.0909090909090909
New r_max = 10.0032958984375 from 10

Check simplificaion of expression for run b. Should be exactly the same output.

Time start:	Mon Jun 03 12:16:15 2024

Parameter values (given in code units, then in SI units)
P_final                :	44.9688687          0.0015              
Omega_final            :	0.139723001463446   4188.79020478639    
R_LC_max               :	7.15701773885541    71570.1773885541    
r_min, r_max           :	1                   10.0032958984375    
n_r, delta_r           :	100                 0.0909423828125     
n_t, delta_t           :	1001                0.00314159265358979 
Timestep delta_T       :	0.0030517578125     1.01795683349045e-07
CFL max timestep       :	0.00314159265358979 1.04792251097584e-07
Length of simulation   :	1.5                 5.00346142797228e-05	steps: 500
Est. CSV size (MB)     :	50.6057739257812
ell_max                :	20
n_max                  :	10
Printing values at ( r[99], theta[5] ) = ( 10.0032958984375, 0.0172787595947439 ) = ( 10.0032958984375, 0.0055 pi ).
dOmega_by_dT_index     :	0.00093148667642297	dOmega_by_dT:	0.310495558807657
Ramp start             :	1	0.0030517578125
Ramp stop              :	150	0.457763671875

use_outer_sponge_layer:	1
sigma_0, gamma, beta    :	0.5	6	4

CSV file saved:	CSV/20240603_c_sponge_in_terms_of_time_derivative_4_profiles.csv
CSV file saved:	CSV/20240603_c_sponge_in_terms_of_time_derivative_5_history.csv
CSV _3_VSH_coeffs not saved.
CSV file saved:	CSV/20240603_c_sponge_in_terms_of_time_derivative_7_BCs.csv
Log file saved:	Logs/20240603_c_sponge_in_terms_of_time_derivative.txt
T_index       T             |	B_r           B_t           B_p           |	E_r           E_t           E_p           |	% E pts chngd |	nans_tot      % done        Est. time left
29            0.088501      |	0.00200776    6.82499e-06   -7.85854e-06  |	2.95471e-08   -7.85854e-06  -6.82499e-06  |	0.1           |	0             6             0:12:19
30            0.0915527     |	0.00200824    6.59188e-06   -8.44306e-06  |	2.88196e-08   -8.44306e-06  -6.59188e-06  |	0.1           |	0             6.2           0:12:16
31            0.0946045     |	0.00200874    6.3417e-06    -9.05918e-06  |	2.80289e-08   -9.05918e-06  -6.3417e-06   |	0.1           |	0             6.4           0:12:13
32            0.0976562     |	0.00200925    6.07315e-06   -9.68729e-06  |	2.72804e-08   -9.68729e-06  -6.07315e-06  |	0.1           |	0             6.6           0:12:09
33            0.100708      |	0.00200977    5.78825e-06   -1.03484e-05  |	2.63613e-08   -1.03484e-05  -5.78825e-06  |	0.1           |	0             6.8           0:12:06
34            0.10376       |	0.0020103     5.48497e-06   -1.10224e-05  |	2.54759e-08   -1.10224e-05  -5.48497e-06  |	0.1           |	0             7             0:12:02
35            0.106812      |	0.00201084    5.16532e-06   -1.17204e-05  |	2.45139e-08   -1.17204e-05  -5.16532e-06  |	0.1           |	0             7.2           0:11:59
36            0.109863      |	0.00201139    4.8283e-06    -1.24354e-05  |	2.35381e-08   -1.24354e-05  -4.8283e-06   |	0.1           |	0             7.4           0:11:55
37            0.112915      |	0.00201195    4.47597e-06   -1.31704e-05  |	2.25508e-08   -1.31704e-05  -4.47597e-06  |	0.1           |	0             7.6           0:11:52
38            0.115967      |	0.00201253    4.10724e-06   -1.3918e-05   |	2.15744e-08   -1.3918e-05   -4.10724e-06  |	0.1           |	0             7.8           0:11:49
39            0.119019      |	0.00201311    3.7247e-06    -1.4683e-05   |	2.06197e-08   -1.4683e-05   -3.7247e-06   |	0.1           |	0             8             0:11:46
40            0.12207       |	0.0020137     3.32528e-06   -1.54527e-05  |	1.96938e-08   -1.54527e-05  -3.32528e-06  |	0.1           |	0             8.2           0:11:43
41            0.125122      |	0.00201429    2.91438e-06   -1.62365e-05  |	1.88345e-08   -1.62365e-05  -2.91438e-06  |	0.1           |	0             8.4           0:11:41
42            0.128174      |	0.0020149     2.48582e-06   -1.70111e-05  |	1.80115e-08   -1.70111e-05  -2.48582e-06  |	0.1           |	0             8.6           0:11:38
43            0.131226      |	0.00201551    2.05012e-06   -1.78052e-05  |	1.73253e-08   -1.78052e-05  -2.05012e-06  |	0.1           |	0             8.8           0:11:35
44            0.134277      |	0.00201613    1.6009e-06    -1.85968e-05  |	1.66981e-08   -1.85968e-05  -1.6009e-06   |	0.1           |	0             9             0:11:33
45            0.137329      |	0.00201676    1.14034e-06   -1.93826e-05  |	1.6188e-08    -1.93826e-05  -1.14034e-06  |	0.1           |	0             9.2           0:11:30
46            0.140381      |	0.00201738    6.74176e-07   -2.01708e-05  |	1.5873e-08    -2.01708e-05  -6.74176e-07  |	0.1           |	0             9.4           0:11:27
47            0.143433      |	0.00201802    1.93659e-07   -2.09421e-05  |	1.55684e-08   -2.09421e-05  -1.93659e-07  |	0.1           |	0             9.6           0:11:24
