
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
98;0.003675;1.84e-20;ELL1;*;*;
99;1.089000;*;*;*;*;
100;0.348124;1.76e-15;*;EXGAL:SMC;*;
101;0.463474;1.20e-16;*;*;*;
102;0.136962;7.84e-17;*;*;*;
103;0.414763;1.22e-17;*;*;*;
104;0.717963;9.60e-16;*;*;*;
105;1.247961;2.06e-15;*;*;RRAT[ttm18];
106;1.775344;7.91e-14;*;*;*;
107;0.272451;1.07e-14;*;GRS:[saa+23];HE[saa+23];
108;1.222949;3.91e-16;*;*;*;
109;0.046686;*;*;*;*;
110;0.046680;1.65e-18;*;*;*;
111;0.938100;*;*;*;*;
112;8.688994;1.99e-12;*;XRS:4U_0142+61;AXP,NRAD;
113;0.196321;2.57e-16;*;*;*;
114;2.654000;*;*;*;*;
115;1.464665;4.43e-16;*;*;*;
116;2.746647;1.70e-15;*;*;*;
117;0.832742;1.30e-15;*;*;*;
118;0.002365;2.92e-21;*;GRS:[saa+23];HE[saa+23];
119;*;*;*;*;RRAT[dsm+16];
120;1.811561;1.52e-16;*;*;*;
121;2.351745;1.89e-13;*;*;*;
122;0.505300;*;*;*;*;
123;1.349184;5.51e-15;*;*;RRAT[kkl+15];
124;0.005173;1.43e-20;ELL1;*;*;
125;0.065716;1.94e-13;*;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[b;HE[aab+22];
126;0.630551;1.20e-15;*;*;*;
127;0.863883;5.72e-17;*;*;*;
128;1.063906;1.39e-14;*;*;*;
129;1.766219;1.52e-13;*;*;*;
130;0.350731;1.11e-18;*;*;*;
131;1.077333;2.90e-16;*;*;*;
132;0.376386;6.60e-15;*;*;*;
133;0.024575;2.96e-19;DD;*;*;
134;0.548880;6.62e-16;*;*;*;
135;0.002323;7.74e-20;ELL1;GRS:4FGL_J0218.1+4232[aab+22];HE[khvb98],HE[aaa+09f];
136;*;*;*;*;*;
137;1.029700;*;*;*;*;
138;1.240102;2.85e-15;*;*;*;
139;0.806900;*;*;*;*;
140;1.466820;3.11e-15;*;*;*;
141;1.545400;*;*;*;*;
142;0.592000;*;*;*;*;
143;1.473000;*;*;*;*;
144;2.128100;*;*;*;*;
145;0.002601;1.69e-20;*;GRS:4FGL_J0248.6+4230[brj+21];HE[brj+21];
146;0.217094;5.51e-14;*;GRS:4FGL_J0248.4+6021[aab+22];HE[tpc+11];
147;23.535378;2.72e-14;*;*;*;
148;0.002542;7.57e-21;ELL1;GRS:4FGL_J0251.0+2605[drc+21];HE[cck+16];
149;0.447708;3.13e-17;*;*;*;
150;0.568040;*;*;*;*;
151;1.207165;8.25e-17;*;*;*;
