
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
499;1.931627;2.50e-16;*;*;*;
500;4.392159;8.37e-15;*;*;*;
501;3.669910;*;*;*;*;
502;0.570409;2.69e-16;*;*;*;
503;1.444777;4.65e-15;*;*;*;
504;0.961500;*;*;*;*;
505;0.522581;*;*;*;*;
506;0.087545;3.29e-14;*;GRS:4FGL_J0941.1-5429[aab+22];HE[mlc+01],HE[aab+22];
507;0.586778;*;*;*;RRAT;
508;0.658558;1.14e-15;*;*;*;
509;0.664389;2.27e-14;*;*;*;
510;0.808164;3.96e-14;*;*;*;
511;1.087418;9.11e-17;*;*;*;
512;0.532975;8.98e-17;*;*;*;
513;1.734000;*;*;*;RRAT(?)[bbc+22];
514;2.229431;4.42e-15;*;*;*;
515;0.570264;4.53e-17;*;*;*;
516;0.331586;4.83e-15;*;*;*;
517;1.097706;3.49e-15;*;XRS:[zsp05];*;
518;0.851014;4.30e-16;*;*;*;
519;0.166095;*;*;*;*;
520;0.640016;6.37e-16;*;*;*;
521;0.212378;*;*;*;*;
522;0.001414;4.77e-21;ELL1;GRS:4FGL_J0952.1-0607[aab+22],OPT:[bph+1;HE[ncb+19];
523;1.373815;5.80e-16;*;*;*;
524;0.253065;2.30e-16;*;*;HE[bwt+04];
525;0.472851;4.39e-14;*;*;*;
526;0.004835;*;?;*;*;
527;0.862122;3.53e-15;*;*;*;
528;0.001999;1.43e-20;DD;GRS:4FGL_J0955.4-6151[aab+22];HE[ckr+15];
529;1.723700;*;*;*;RRAT;
530;1.723712;1.49e-16;*;*;*;
531;0.203557;1.95e-15;*;*;*;
532;0.670086;8.47e-17;*;*;*;
533;0.440372;*;*;*;*;
534;0.255677;9.59e-16;*;*;*;
535;1.436631;5.16e-14;*;*;*;
536;1.661177;8.60e-16;*;*;*;
537;0.379533;*;*;*;*;
538;7.733640;5.99e-14;*;*;*;
539;0.777501;1.57e-15;*;*;*;
540;0.713489;1.04e-16;*;*;*;
541;0.880000;*;*;*;*;
542;0.307074;2.07e-15;*;*;*;
543;*;*;*;*;RRAT[ttm18];
544;0.835797;5.73e-16;*;*;*;
545;*;*;*;*;RRAT[dsm+13];
546;0.005256;1.71e-20;T2;OPT:[cgk98];HE[wob+04];
547;2.517945;8.81e-16;*;*;*;
548;0.003101;6.55e-21;ELL1H+;GRS:4FGL_J1012.1-4235[aab+22];HE[ckr+15];
549;2.133591;3.77e-14;*;*;*;
550;0.819926;1.78e-14;*;*;*;
551;0.442901;5.56e-16;*;*;*;
552;1.508800;*;*;*;RRAT;
553;0.020800;*;?;*;*;
554;0.139882;5.74e-14;*;*;*;
555;0.769586;1.93e-15;*;*;*;
556;0.087834;6.99e-16;*;*;*;
557;0.107386;8.08e-14;*;GRS:4FGL_J1016.3-5857[aab+22],SNR:G284.3;HE[aab+22];
558;0.452785;5.70e-16;*;*;*;
559;0.503463;3.14e-15;*;*;*;
560;0.002339;2.21e-21;T2;*;*;
561;0.083153;1.09e-19;DD;*;*;
562;1.804695;1.74e-15;*;*;*;
563;0.162506;2.01e-14;*;GRS:4FGL_J1019.8-5749[aab+22];HE[kbm+03],HE[aab+22];
564;0.003943;*;*;*;*;
565;1.238305;4.05e-14;*;*;*;
566;0.140481;6.74e-15;*;*;*;
567;0.282879;*;*;*;*;
568;0.670026;5.34e-17;*;*;*;
569;0.016453;4.33e-20;DDH;*;*;
570;1.643726;1.45e-13;*;*;*;
571;0.001688;6.93e-21;T2;OPT:AY_Sex[asr+09],XRS:[akb+10];HE[jah+16],HE[aps+17];
572;0.111472;3.84e-13;*;GRS:4FGL_J1023.0-5745[aab+22],GRS:HESS_J;NRAD;
573;0.005162;1.85e-20;*;GRS:4FGL_J1024.5-0719[aab+22],OPT:2MASS_;HE[egc+13];
574;0.091403;1.61e-14;*;GRS:4FGL_J1028.5-5819[aab+22];HE[aaa+09];
575;0.027324;*;?;*;*;
576;0.306411;1.78e-15;*;*;*;
577;2.407622;1.79e-14;*;*;*;
578;0.078741;3.61e-14;*;*;*;
579;0.464213;1.80e-15;*;*;*;
580;1.150590;2.30e-16;*;*;*;
581;0.791480;*;*;*;*;
582;0.034471;*;?;*;*;
583;0.579577;3.50e-16;*;*;*;
584;0.002872;4.65e-20;*;GRS:4FGL_J1035.4-6720[aab+22];HE[cpw+18];
585;0.001680;*;ELL1;*;*;
586;0.510369;1.65e-15;*;*;*;
587;0.533502;1.36e-15;*;*;*;
588;0.003408;*;BT;GRS:4FGL_J1036.5-8318[aab+22];HE[ckr+15];
589;0.028852;6.70e-20;*;*;*;
590;0.661992;1.25e-15;*;*;*;
591;0.271553;*;*;*;*;
592;1.246563;*;*;*;*;
593;1.386368;9.45e-16;*;*;*;
594;1.170867;6.72e-15;*;*;*;
595;0.288605;1.04e-14;*;*;*;
596;0.139029;5.46e-14;*;GRS:4FGL_J1044.4-5737[aab+22],GRS:1AGL_J;NRAD[aab+22];
597;0.024048;7.86e-20;DD;*;*;
598;0.007474;1.77e-20;T2;*;*;
599;0.326271;1.24e-16;*;*;*;
600;0.369428;1.15e-15;*;*;*;
601;0.330328;6.10e-17;*;*;*;
602;0.198451;1.69e-15;*;*;*;
603;0.004665;3.01e-20;BTX;GRS:4FGL_J1048.6+2340[aab+22];HE[drc+21];
604;2.730862;1.22e-15;*;*;*;
605;0.123725;9.61e-14;*;GRS:4FGL_J1048.2-5832[aab+22];HE[klm+00],HE[aaa+09i];
606;1.231305;1.22e-14;*;*;RRAT;
607;0.727618;3.91e-15;*;*;*;
608;2.202325;4.41e-15;*;*;*;
609;6.452077;3.81e-11;*;XRS:1E_1048.1-5937;AXP,NRAD;
610;1.146050;*;*;*;*;
611;0.180592;2.00e-14;*;*;*;
612;0.383830;3.87e-16;*;*;*;
613;0.346909;4.07e-15;*;*;*;
614;0.228324;2.09e-16;*;*;*;
615;1.840004;3.14e-15;*;*;*;
616;0.947558;9.24e-14;*;*;*;
617;0.099661;2.95e-14;*;GRS:4FGL_J1055.7-6028[aab+22];HE;
618;0.448635;7.08e-16;*;*;*;
619;2.919397;2.03e-14;*;*;*;
620;0.676082;5.76e-16;*;*;*;
621;0.422451;3.58e-15;*;*;*;
622;0.026310;6.30e-20;ELL1;*;*;
623;0.628306;2.25e-16;*;*;*;
624;0.197115;5.84e-15;*;GRS:4FGL_J1057.9-5227[aab+22],XRS:[of93];HE[aaa+10m];
625;0.620365;1.01e-13;*;GRS:4FGL_J1056.9-5852[aab+22];NRAD[aab+22];
626;1.347404;1.33e-15;*;*;*;
627;0.616270;6.57e-16;*;*;*;
628;3.631170;5.74e-15;*;*;*;
629;1.185003;4.31e-15;*;*;*;
630;0.062800;8.56e-15;*;SNR:G290.1-0.8(MSH_11-61A)[htg+14];NRAD;
631;0.005109;1.80e-21;ELL1;*;*;
632;0.004050;*;*;GRS:4FGL_J1102.4+0246[aab+22];HE[aab+22];
633;0.003393;3.68e-21;*;*;*;
634;0.396587;9.90e-16;*;*;*;
635;0.280905;1.97e-15;*;*;*;
636;6.403055;1.43e-15;*;*;RRAT[dcm+23];
637;0.875000;*;*;*;*;
638;0.351112;2.50e-15;*;*;*;
639;0.194938;2.18e-14;*;GRS:4FGL_J1104.9-6037[aab+22],XRS:1XSPS_;NRAD[aab+22];
640;0.063202;1.58e-14;*;GRS:4FGL_J1105.4-6108[aab+22],XRS:PWN[gk;HE[aab+22];
641;2.717934;2.33e-15;*;*;*;
642;0.252773;9.01e-18;*;*;*;
643;1.516531;3.40e-16;*;*;*;
644;1.799396;1.56e-13;*;*;*;
645;0.004278;*;?;*;*;
646;0.793350;*;*;*;*;
647;0.558254;2.06e-15;*;*;*;
648;0.106689;1.96e-13;*;GRS:4FGL_J1111.8-6039[aab+22];NRAD[aab+22];
649;0.064962;3.15e-14;*;GRS:4FGL_J1112.1-6108[aab+22],XRS:[pb15];HE[aab+22];
650;0.334214;8.25e-16;*;*;*;
651;0.820488;2.82e-15;*;*;*;
652;0.880858;4.60e-14;*;*;*;
653;1.656440;2.49e-15;*;*;*;
654;1.310894;3.47e-17;*;*;*;
655;0.259779;7.23e-15;*;*;*;
656;0.867949;9.85e-16;*;*;*;
657;0.943158;7.95e-15;*;*;*;
658;0.505097;1.25e-14;*;*;*;
659;1.155272;2.40e-16;*;*;*;
660;0.407963;4.02e-12;*;GRS:4FGL_J1119.1-6127[aab+22],SNR:G292.2;HE[gkc+07];
661;2.280597;3.67e-15;*;*;*;
662;0.497000;*;*;*;*;
663;0.005557;9.36e-22;ELL1;*;*;
664;0.535787;2.78e-15;*;*;*;
665;0.007838;1.52e-20;*;*;*;
666;0.244838;6.54e-17;*;*;*;
667;0.640234;6.46e-15;*;*;*;
668;0.271437;5.25e-15;*;*;*;
669;0.232976;2.75e-15;*;*;*;
670;0.002410;6.01e-21;ELL1;GRS:4FGL_J1124.0-3653[aab+22];HE;
671;0.185560;9.00e-18;*;*;*;
672;0.135477;7.53e-13;*;GRS:4FGL_J1124.7-5915[aab+22],SNR:G292.0;HE[hsp+03];
673;0.479099;6.20e-16;*;*;*;
674;0.004202;6.94e-21;ELL1;*;*;
675;0.003102;6.09e-20;DD;GRS:4FGL_J1125.6-5825[aab+22];HE;
676;0.002630;3.73e-21;T2;GRS:4FGL_J1126.4-6011[aab+22];HE[sbc+19];
677;0.358161;*;*;*;RRAT[kkl+15];
678;0.887550;*;*;*;*;
679;0.202737;2.81e-16;*;*;*;
680;0.579419;3.29e-15;*;*;*;
681;0.515984;1.10e-17;*;*;*;
682;1.062880;*;*;*;RRAT;
683;4.796637;-2.76e-15;*;*;RRAT[dcm+23];
684;0.162323;1.59e-17;*;*;*;
685;0.680984;9.52e-16;*;*;*;
686;0.256353;4.60e-16;*;*;*;
687;1.002000;*;*;*;RRAT(?)[ttm18];
688;0.325633;7.77e-16;*;*;*;
689;0.175166;6.80e-17;*;*;*;
690;1.022875;4.52e-16;*;*;*;
691;0.688961;*;*;*;*;
692;*;*;*;*;RRAT;
693;0.114943;7.93e-14;*;GRS:4FGL_J1135.2-6055[aab+22];NRAD[aab+22];
694;1.187913;3.73e-15;*;XRS:[kpg06a];*;
695;0.364713;8.23e-15;*;*;*;
696;1.189309;1.75e-15;*;*;*;
697;0.002513;3.24e-21;ELL1;GRS:4FGL_J1137.6+7527[aab+22];HE;
698;0.556216;7.17e-17;*;*;*;
699;0.624372;*;*;*;*;
700;0.117564;1.25e-14;*;*;*;
701;0.120482;4.05e-15;*;GRS:4FGL_J1139.2-6247[aab+22];NRAD[nie+20];
702;0.538432;1.96e-15;*;*;*;
703;0.291468;4.65e-16;*;*;*;
704;0.393899;4.31e-15;DD;OPT:[abw+11];*;
705;0.005075;1.50e-20;ELL1;GRS:4FGL_J1142.8+0120[aab+22];HE;
706;0.558383;7.79e-17;*;*;*;
707;0.675646;6.95e-16;*;*;*;
708;0.685358;4.85e-16;*;*;*;
709;0.987783;-3.81e-17;*;*;*;
710;0.850665;3.08e-14;*;*;*;
711;0.273375;1.79e-15;*;*;*;
712;0.003722;7.93e-21;ELL1;*;*;
713;3.559937;1.11e-14;*;*;*;
714;3.241029;2.70e-15;*;*;*;
715;1.496743;*;*;*;*;
716;0.101633;1.03e-14;*;GRS:4FGL_J1152.0-6107[aab+22];HE[ncb+15],HE[aab+22];
717;1.789829;1.28e-15;*;*;*;
718;0.376570;6.69e-15;*;*;*;
719;2.449000;*;*;*;RRAT(?)[bbc+22];
720;2.343480;*;*;*;RRAT[kkl+15];
721;0.011100;*;*;*;*;
722;0.282012;5.59e-16;*;*;*;
723;0.078870;*;?;*;*;
724;*;*;*;*;RRAT[mss+20];
725;0.288417;2.65e-14;*;*;*;
726;1.037931;1.02e-15;*;*;*;
727;0.043589;1.43e-19;ELL1;*;*;
728;0.400526;3.93e-15;*;*;*;
729;0.667486;2.40e-17;*;*;*;
730;0.525074;2.82e-15;*;*;*;
731;0.592136;3.56e-15;*;*;*;
732;0.452803;2.13e-15;*;*;*;
733;0.100604;4.41e-14;*;GRS:4FGL_J1203.9-6242[aab+22];NRAD[nie+20];
734;0.308861;2.17e-16;*;*;*;
735;1.769828;1.56e-15;*;*;*;
736;0.004843;6.06e-21;*;GRS:4FGL_J1207.4-5050[brj+21];HE[brj+21];
737;0.028714;2.97e-20;DDH;*;*;
738;0.440591;3.27e-12;*;GRS:4FGL_J1208.2-6237[aab+22];NRAD[aab+22];
739;0.424131;2.22e-17;*;SNR:G296.5+10.0[aaa+16d],XRS:1E_1207.4-5;NRAD;
740;0.279768;7.25e-16;*;*;*;
741;1.163186;9.25e-15;*;*;*;
742;4.237010;4.31e-16;*;*;*;
743;0.433084;2.57e-16;*;*;*;
744;0.073802;*;*;*;*;
745;0.909823;5.34e-17;*;*;*;
746;0.636414;1.15e-16;*;*;*;
747;6.355000;*;*;*;RRAT;
748;0.374053;1.68e-14;*;*;*;
749;0.003539;1.62e-21;ELL1;*;*;
750;0.789212;8.03e-17;*;*;*;
751;0.001935;5.27e-21;ELL1;GRS:4FGL_J1221.4-0634[aab+22];HE[aab+22];
752;1.081164;1.50e-16;*;*;*;
753;0.288541;5.70e-18;*;*;*;
754;0.585761;2.02e-14;*;*;*;
755;0.216480;4.95e-15;*;XRS:[pb15];HE[lsg+15];
756;1.018453;2.06e-15;*;*;*;
757;0.626324;2.88e-16;*;*;*;
758;0.419618;9.46e-16;*;*;*;
759;2.285076;2.47e-15;*;*;*;
760;6.193004;7.05e-15;*;*;RRAT;
761;0.001686;1.11e-20;ELL1;GRS:4FGL_J1228.0-4853[aab+22],XRS:XSS_J1;HE[pdb+15],HE[jrr+15];
762;0.034528;1.87e-19;ELL1H;*;*;
763;0.444578;*;*;*;*;
764;0.003684;2.26e-20;T2;GRS:4FGL_J1231.1-1412[aab+22];HE;
765;0.877239;3.80e-17;*;*;*;
766;0.206612;1.17e-16;*;GRS:4FGL_J1231.6-5116[aab+22];NRAD[nie+20];
767;0.409834;*;*;*;*;
768;1.351236;1.32e-16;*;*;*;
769;0.247525;2.84e-14;*;GRS:4FGL_J1231.6-6511[aab+22];NRAD[nie+20];
770;1.872994;1.40e-17;*;*;*;
771;0.285318;*;*;*;*;
772;0.088282;8.11e-19;ELL1;*;*;
773;0.564759;6.92e-15;*;*;*;
774;0.756892;3.88e-15;*;*;*;
775;0.569242;8.66e-16;*;*;*;
776;0.638234;*;*;*;*;
777;0.256778;1.97e-16;*;*;*;
778;3.597574;5.10e-15;*;*;*;
779;0.294760;1.56e-16;*;*;*;
780;0.100565;*;*;*;*;
781;2.110974;2.19e-15;*;*;*;
782;1.118591;1.45e-15;*;*;*;
783;0.858327;4.36e-16;*;*;*;
784;1.382449;9.60e-16;*;*;*;
785;0.004700;*;*;*;*;
786;0.004701;3.87e-21;ELL1;*;*;
787;0.653900;*;*;*;*;
788;1.301923;1.19e-14;*;*;*;
789;0.512242;1.74e-15;*;*;*;
790;1.310000;*;*;*;*;
791;0.005313;2.14e-20;*;*;*;
792;1.216500;*;*;*;*;
793;0.471225;8.00e-17;*;*;*;
794;0.388485;4.49e-15;*;*;*;
795;3.425324;1.48e-15;*;*;*;
796;1.411433;9.97e-16;*;*;*;
797;0.275207;1.00e-15;*;*;*;
798;0.147274;4.40e-18;DD;*;*;
799;0.212905;*;*;*;*;
800;1.546819;7.18e-15;*;*;*;
801;2.283093;1.09e-14;*;*;*;
802;0.473871;8.89e-17;*;*;*;
803;0.198335;1.69e-14;*;*;*;
804;1.234893;1.93e-15;*;*;*;
805;0.434445;1.21e-17;*;*;*;
806;0.327058;3.65e-16;*;*;*;
807;0.220104;*;*;*;RRAT[gac+21];
808;0.823339;1.08e-16;*;*;*;
809;0.255496;2.10e-15;*;GRS:4FGL_J1253.3-5816[aab+22];HE[mld+96],HE[aab+22];
810;0.184502;6.24e-16;*;*;*;
811;0.052000;*;*;*;*;
812;0.657974;4.00e-15;*;*;*;
813;0.182912;*;*;*;*;
814;0.617308;3.63e-16;*;*;*;
815;0.663330;8.55e-16;*;*;*;
816;0.006219;1.14e-19;BT2P;XRS:[pkgw07];*;
817;1.143316;3.35e-16;*;*;*;
818;0.001844;1.06e-20;ELL1;GRS:4FGL_J1301.6+0834[aab+22],OPT:[lht14;HE;
819;0.184528;2.67e-13;*;*;*;
820;0.663830;5.64e-14;*;XRS:[pb15];*;
821;0.003771;6.54e-21;ELL1;GRS:4FGL_J1302.4-3258[aab+22];HE[hrm+11],HE[aab+22];
822;0.325724;*;*;*;*;
823;0.967846;6.33e-15;*;*;*;
824;0.047763;2.28e-15;MSS;*;*;
825;0.396300;*;*;*;*;
826;0.419416;*;*;*;*;
827;2.306642;2.18e-15;*;*;*;
828;0.004180;*;*;GRS:4FGL_J1304.4+1203[aab+22];NRAD[aab+22];
829;0.427774;3.22e-14;*;*;*;
830;0.478231;2.11e-15;*;*;*;
831;0.571652;4.03e-15;*;*;*;
832;0.197276;*;*;*;*;
833;0.002205;*;BT;GRS:4FGL_J1306.8-4035[aab+22],OPT:SSS_J1;HE[aab+22];
834;0.005671;*;?;*;*;
835;0.981902;5.86e-15;*;*;*;
836;0.473028;5.98e-15;*;*;*;
837;4.962427;2.11e-14;*;*;*;
838;3.651200;*;*;*;RRAT;
839;10.312522;1.12e-13;*;XRS:RX_J1308.6+2127,OPT:[kkvh11];XINS,NRAD;
840;0.002830;*;*;*;*;
841;1.058833;5.26e-16;*;*;*;
842;0.464700;8.64e-15;*;*;*;
843;0.619454;8.79e-15;*;*;*;
844;0.398292;1.84e-17;*;*;*;
845;0.447518;1.51e-16;*;*;*;
846;0.002560;2.10e-20;ELL1;GRS:4FGL_J1311.7-3430[aab+22],OPT:[rom12;HE;
847;0.004228;1.75e-20;DD;GRS:4FGL_J1312.7+0050[aab+22];HE;
848;0.033163;*;BT;GC:M53(NGC5024);*;
849;0.006242;-1.75e-20;DD;GC:M53(NGC5024)[pqm+21];*;
850;0.012535;5.26e-20;*;GC:M53(NGC5024)[pqm+21];*;
851;0.006070;2.26e-20;ELL1;GC:M53(NGC5024)[pqm+21];*;
852;0.003972;-7.57e-21;ELL1;GC:M53(NGC5024)[lpz+23];*;
853;0.728154;1.47e-16;*;*;*;
854;0.849243;5.70e-15;*;*;*;
855;2.437432;6.83e-16;*;*;*;
856;0.848933;8.00e-16;*;*;*;
857;2.948390;1.17e-14;*;*;*;
858;1.932600;*;*;*;*;
859;0.342825;5.30e-15;*;*;*;
860;0.002908;5.50e-21;ELL1;*;*;
861;2.642199;1.26e-14;*;*;RRAT;
862;0.261271;1.02e-16;*;*;*;
863;0.284353;1.53e-15;*;*;*;
864;0.421118;1.50e-15;*;*;*;
865;1.028620;*;*;*;*;
866;0.458488;1.90e-18;*;*;*;
867;0.279738;9.25e-15;*;*;*;
868;0.670037;5.66e-16;*;*;*;
869;1.279058;2.37e-15;*;*;*;
870;1.044851;*;*;*;*;
871;0.506058;2.59e-15;*;*;*;
872;2.764209;1.11e-14;*;*;*;
873;0.844109;5.58e-15;*;*;*;
874;2.483804;9.79e-16;*;*;*;
875;0.028969;4.80e-20;DD;*;*;
876;0.041500;*;*;*;*;
877;0.004109;2.74e-20;*;GC:OmegaCen(NGC5139)[djk+20];*;
878;0.004792;-5.43e-20;ELL1;GC:OmegaCen(NGC5139)[djk+20],XRS:J132649;*;
879;0.006868;9.81e-21;*;GC:OmegaCen(NGC5139)[djk+20],XRS:J132655;*;
880;0.004579;-4.11e-20;*;GC:OmegaCen(NGC5139)[djk+20];*;
881;0.004208;1.63e-20;*;GC:OmegaCen(NGC5139)[djk+20],XRS:J132642;*;
882;0.477994;3.24e-15;*;*;*;
883;0.792674;3.09e-15;*;*;*;
884;0.543015;5.33e-15;*;*;*;
885;0.041513;1.29e-19;*;*;*;
886;0.002678;1.80e-21;T2;*;HE[sbc+19];
887;0.529929;1.88e-14;*;*;*;
888;0.196480;1.53e-15;*;*;*;
889;0.280678;3.12e-14;*;*;*;
890;0.532699;3.01e-15;*;*;*;
891;1.478721;6.10e-16;*;*;*;
892;0.528858;*;*;*;*;
893;0.734367;*;*;*;*;
894;*;*;*;*;RRAT(?)[ttm+18];
895;1.565218;3.39e-14;*;*;*;
896;0.648117;5.10e-16;*;*;*;
897;1.106400;*;*;*;RRAT;
898;0.650434;5.60e-16;*;*;*;
899;0.345603;5.40e-19;*;*;*;
900;0.911100;*;*;*;*;
901;0.107718;2.16e-17;*;*;*;
902;0.399192;*;*;*;*;
903;0.003238;1.21e-20;*;GRS:4FGL_J1335.0-5656[aab+22];NRAD[nie+20];
904;3.013000;*;*;*;RRAT(?)[ttm18];
905;0.478145;3.31e-16;*;*;*;
906;1.257511;3.03e-16;*;*;*;
907;0.207953;3.56e-16;*;*;*;
908;0.009423;2.47e-20;ELL1;*;*;
909;1.239001;1.38e-14;*;*;*;
910;0.004088;*;?;*;*;
911;0.137055;5.30e-19;*;*;*;
912;0.558179;3.50e-16;*;*;*;
913;0.378622;5.05e-15;*;*;*;
914;0.627285;1.95e-14;*;*;*;
915;0.193340;2.53e-13;*;GRS:4FGL_J1341.7-6216[aab+22],SNR:G308.8;HE[aab+22];
916;0.002545;*;BT;GC:M3(NGC5272);*;
917;0.002389;1.86e-20;ELL1;GC:M3(NGC5272),OPT:[cfi+19];*;
918;0.002166;*;*;GC:M3(NGC5272);*;
919;0.005443;*;DD;GC:M3(NGC5272);*;
920;0.005470;*;*;GC:M3(NGC5272)[pqm+21];*;
921;0.004400;*;*;GC:M3(NGC5272)[pqm+21];*;
922;1.394104;1.09e-15;*;*;*;
923;0.252398;2.91e-15;*;*;*;
924;0.540102;4.30e-17;*;*;*;
925;1.253085;3.25e-15;*;*;*;
926;0.299625;3.50e-17;*;*;*;
927;0.609962;1.42e-14;*;*;*;
928;0.927772;3.79e-15;*;*;*;
929;0.259365;5.12e-15;*;*;*;
930;0.373034;*;*;*;*;
931;0.295700;7.58e-16;*;*;*;
932;0.138158;8.88e-15;*;GRS:4FGL_J1350.6-6224[aab+22];NRAD[aab+22];
933;0.004738;*;*;*;*;
934;0.628903;1.23e-15;*;*;*;
935;2.076200;*;*;*;*;
936;0.851064;1.40e-16;*;*;*;
937;6.270000;*;*;*;RRAT[mss+20];
938;2.951938;1.48e-14;*;*;*;
939;0.644305;2.81e-15;*;*;*;
940;2.038674;7.07e-16;*;*;*;
941;1.213381;5.99e-15;*;*;*;
942;0.276603;3.10e-18;*;*;*;
943;0.507380;7.24e-16;*;*;*;
944;0.912971;*;*;*;*;
945;0.455761;*;*;*;*;
946;0.166108;3.60e-13;*;GRS:4FGL_J1356.9-6432[aab+22],XRS:PWN[za;HE[lzg+11];
947;0.374120;*;*;*;*;
948;0.060533;3.02e-15;*;GRS:4FGL_J1358.3-6026[aab+22];NRAD[nie+20];
949;0.127508;6.33e-15;*;*;*;
950;0.899747;*;*;*;*;
951;*;*;*;*;RRAT[ttm18];
952;0.003084;7.23e-21;ELL1;GRS:4FGL_J1400.6-1432[aab+22],OPT:[skm+1;HE[aab+22];
953;0.031182;3.89e-14;*;GRS:IGR_J14003-6326,SNR:G310.6-1.6;HE;
954;0.842805;1.68e-14;*;*;*;
955;0.005892;1.35e-20;ELL1;GRS:4FGL_J1402.7+1306[aab+22];HE[saa+23];
956;1.380182;5.41e-15;*;*;*;
957;0.362634;*;*;*;*;
958;0.399170;9.00e-17;*;*;*;
959;1.306198;1.20e-15;*;*;*;
960;2.650439;1.38e-15;*;*;*;
961;0.007602;2.79e-20;ELL1;*;*;
962;0.617575;1.20e-15;*;*;*;
963;2.436795;6.81e-16;*;*;*;
964;0.288349;6.11e-16;*;*;*;
965;1.248318;*;*;*;*;
966;0.213075;5.47e-14;*;*;*;
967;0.492344;3.16e-15;*;*;*;
968;0.701615;8.85e-15;*;*;*;
969;0.567635;*;*;*;*;
970;1.125000;*;*;*;*;
971;0.300581;*;*;*;*;
972;0.528591;8.40e-16;*;*;*;
973;0.050052;3.20e-14;*;GRS:4FGL_J1411.5-6133[aab+22];HE[ojk+08],HE[aab+22];
974;0.278729;6.74e-18;*;*;*;
975;0.062453;9.60e-20;DD;*;*;
976;0.058199;3.29e-15;*;XRS:1RXS_J141256.0+792204(Calvera);NRAD;
977;0.529156;1.91e-15;*;*;*;
978;0.315258;9.90e-14;*;*;*;
979;0.021676;*;?;*;*;
980;0.285625;3.33e-13;*;*;*;
981;0.109741;2.77e-14;*;GRS:4FGL_J1413.5-6205[aab+22],GRS:1AGL_J;NRAD[aab+22];
982;0.292408;2.23e-15;*;*;*;
983;0.394946;7.43e-15;*;*;*;
984;4.630188;6.39e-15;*;*;*;
985;0.392479;5.80e-16;*;*;*;
986;0.794883;1.20e-16;*;*;*;
987;0.295580;4.28e-15;*;*;*;
988;0.002664;*;ELL1;GRS:4FGL_J1417.6-4403[aab+22],XRS:[scc+1;HE;
989;1.096806;8.89e-16;*;*;*;
990;1.672596;2.71e-16;*;*;*;
991;0.110573;1.69e-13;*;GRS:4FGL_J1418.7-6057[aab+22],GRS:HESS_J;NRAD[aab+22];
992;0.935772;2.32e-16;*;*;*;
993;0.034117;6.75e-20;BT;*;*;
994;0.068180;8.32e-14;*;GRS:4FGL_J1420.0-6048[aab+22],GRS:HESS_J;HE[rrj01],HE[waa+10];
995;0.006386;1.24e-20;ELL1;*;*;
996;0.340968;9.68e-14;*;GRS:4FGL_J1422.5-6137[aab+22];NRAD[aab+22];
997;0.333411;1.45e-15;*;*;*;
998;0.770375;7.80e-16;*;*;*;
999;1.427000;*;*;*;RRAT;
1000;0.366736;3.94e-15;*;*;*;
1001;1.023504;2.40e-16;*;*;*;
1002;0.353263;2.20e-17;*;*;*;
1003;0.707868;7.42e-16;*;*;*;
1004;0.501730;4.78e-16;*;*;*;
1005;0.995800;*;*;*;*;
1006;0.283700;*;*;*;*;
1007;0.586486;6.21e-16;*;*;*;
1008;0.570292;2.09e-15;*;*;*;
1009;0.115843;3.05e-14;*;GRS:4FGL_J1429.9-5911[aab+22];NRAD[aab+22];
1010;0.763915;4.28e-14;*;*;*;
1011;0.491519;4.69e-14;*;*;*;
1012;0.785443;2.78e-15;*;*;*;
1013;0.002012;1.41e-20;ELL1;GRS:4FGL_J1431.4-4711[aab+22];HE[btb+15],HE[aab+22];
1014;0.004111;6.42e-21;BT;*;*;
1015;0.002772;*;*;*;*;
1016;2.034989;5.92e-15;*;*;*;
1017;*;*;*;*;RRAT[dsm+16];
1018;1.954430;5.63e-15;*;*;*;
1019;0.041741;5.48e-19;*;*;*;
1020;1.072121;2.96e-17;*;*;*;
1021;0.306368;3.02e-15;*;*;*;
1022;0.963348;1.03e-15;*;*;*;
1023;0.472996;1.55e-15;*;*;*;
1024;3.262166;*;*;*;*;
1025;0.009348;2.45e-20;ELL1;*;*;
1026;0.009333;*;*;*;*;
1027;0.061696;8.59e-15;*;SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12];*;
1028;0.467616;6.33e-15;*;*;*;
1029;0.777994;*;*;*;*;
1030;0.947903;*;*;*;RRAT[kkl+15];
1031;0.028635;1.42e-19;ELL1;GRS:4FGL_J1440.2-5505[aab+22];HE[fsk+04],HE[aab+22];
1032;0.459607;1.12e-15;*;*;*;
1033;1.175840;3.60e-16;*;*;*;
1034;0.732061;3.38e-16;*;*;*;
1035;1.132600;*;*;*;*;
1036;2.760228;8.23e-15;*;*;*;
1037;4.758576;1.85e-14;*;*;RRAT;
1038;0.002195;9.81e-21;T2;GRS:4FGL_J1446.6-4701[aab+22];HE;
1039;0.158730;1.17e-14;*;GRS:4FGL_J1447.4-5757[aab+22];NRAD[nie+20];
1040;0.463330;8.60e-17;*;*;*;
1041;0.029466;*;*;*;*;
1042;0.075253;*;*;*;*;
1043;0.386643;5.07e-14;*;*;*;
