
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;Gl;Gb;RAJD;DECJD;
;(deg);(deg);(deg);(deg);
129;133.099;-2.539;32.73504166;58.75492173;
130;138.214;-17.905;32.77758750;42.59012778;
131;299.592;-34.606;32.99583333;-81.99338889;
132;135.331;-8.520;33.21724475;52.38041719;
133;135.632;-8.423;33.73031042;52.37802972;
134;132.575;1.030;33.98594524;62.30927029;
135;139.508;-17.527;34.52649404;42.53815976;
136;96.337;-60.189;0.00000000;0.00000000;
137;142.317;-23.040;35.17550000;36.44880556;
138;144.657;-24.870;36.73775000;33.94104444;
139;151.579;-36.417;37.26250000;20.96666667;
140;131.155;9.181;37.80832172;70.44274548;
141;157.964;-39.185;40.44166667;16.06666667;
142;135.187;2.751;40.64583333;62.94722222;
143;136.271;0.500;40.75000000;60.45000000;
144;159.914;-40.140;41.21250000;14.45000000;
145;144.877;-15.322;42.12917917;42.50569167;
146;136.903;0.697;42.07757083;60.35964444;
147;137.767;-0.505;42.57408333;58.90036111;
148;153.881;-29.486;42.76064042;26.10276944;
149;269.862;-55.310;43.98455208;-53.07257639;
150;150.915;-20.736;45.25000000;35.00000000;
151;158.436;-30.815;45.63329167;22.87002778;
152;161.135;-33.270;46.13797917;19.54761111;
153;167.463;-39.662;46.27500000;11.38333333;
154;131.704;14.224;46.98291667;74.72027778;
155;191.510;-52.378;48.02583333;-9.36555556;
156;168.763;-36.040;49.47500000;13.48333333;
157;178.457;-43.605;49.56475417;2.88374444;
158;152.180;-14.338;50.86109125;39.74788972;
159;145.094;-3.480;51.23108333;52.65869444;
160;136.715;9.089;51.27133070;67.74982995;
161;168.499;-31.683;52.28562500;16.90055556;
162;144.995;-1.221;53.24754000;54.57870250;
163;150.348;-8.038;53.81934000;45.93151444;
164;138.383;8.588;53.98776332;66.38989798;
165;169.990;-30.039;54.43260787;17.25411889;
166;130.580;18.709;54.34166667;79.02888889;
167;153.783;-11.022;55.09703317;41.51258087;
168;144.371;1.546;55.25000000;57.18333333;
169;180.791;-36.929;55.75000000;6.00000000;
170;147.017;-1.428;55.80378531;53.21484111;
171;227.758;-52.338;55.86641667;-30.00763889;
172;197.397;-45.333;56.15612917;-9.01740556;
173;183.337;-36.774;57.18182917;4.53651611;
174;167.434;-23.384;57.48908333;23.68138889;
175;165.177;-19.444;58.75000000;28.00000000;
176;162.760;-16.006;59.46875000;32.09027778;
177;149.099;-0.522;59.43683458;52.61597028;
178;156.112;-8.620;59.51322767;41.92195353;
179;148.190;0.811;59.72384917;54.22049556;
180;140.128;10.064;59.65803763;66.46293697;
181;148.231;0.883;59.85837500;54.24880556;
182;290.313;-35.907;60.46562500;-76.13693056;
183;152.428;-3.177;60.66930417;48.43264167;
184;162.783;-13.678;61.37319945;33.78342730;
185;165.571;-16.338;61.50000000;30.00000000;
186;100.358;5.614;323.84749177;59.59482598;
187;144.025;7.046;61.62533583;61.64483556;
188;176.618;-25.656;61.97891250;16.12122222;
189;148.663;2.267;62.00000000;55.00000000;
190;148.663;2.267;62.00000000;55.00000000;
191;230.586;-46.671;62.66250000;-31.12472222;
192;147.122;4.934;63.25000000;58.00000000;
193;166.112;-14.415;63.50000000;31.00000000;
194;145.154;7.489;63.96503310;61.19772651;
195;138.911;13.667;63.98188898;69.90274737;
196;163.219;-10.518;64.42916667;35.75000000;
197;145.299;7.540;64.25000000;61.13333333;
198;147.979;5.119;64.64111250;57.53969722;
199;141.525;11.536;64.69992125;66.59020167;
200;246.262;-45.682;64.51572833;-41.90400556;
201;157.525;-4.494;64.75000000;44.00000000;
202;157.097;-3.720;65.08766394;44.85069350;
203;258.136;-44.386;65.00812500;-50.38002778;
204;165.840;-11.921;65.38833333;32.93055556;
205;197.504;-34.757;65.38981694;-3.75183645;
206;154.436;0.288;66.52838750;49.56068333;
207;171.842;-13.071;68.96590833;27.81713889;
208;253.394;-41.963;69.31623406;-47.25253075;
209;175.883;-13.050;71.78266321;24.79730389;
210;202.072;-29.657;71.75000000;-4.58333333;
211;228.347;-37.918;72.17319758;-27.82964862;
212;282.286;-35.512;72.27362500;-70.52547222;
213;211.075;-32.629;72.53658750;-12.80197222;
214;278.410;-36.290;72.95833333;-67.30000000;
215;217.078;-34.087;73.14210708;-17.98982528;
216;184.125;-17.137;73.43922367;15.98925175;
217;160.706;1.243;73.74712500;45.49630556;
218;152.617;7.547;73.53229417;55.72817694;
219;281.290;-35.187;73.94812500;-69.85952778;
220;280.457;-35.334;74.12500000;-69.16666667;
221;282.049;-34.966;74.01041667;-70.51850000;
222;178.305;-12.005;74.27500000;23.56666667;
223;273.816;-36.701;74.28245833;-63.62511111;
224;281.143;-35.113;74.25833333;-69.76666667;
225;204.139;-27.348;74.65467083;-5.08475000;
226;278.670;-35.518;74.74583333;-67.71666667;
227;201.444;-25.678;74.96642205;-2.16850891;
228;161.547;1.949;75.27816667;45.27608889;
229;160.363;3.077;75.51900417;46.90169167;
230;276.869;-35.504;75.71054167;-66.29966667;
231;157.896;5.803;76.55875000;50.50833333;
232;192.486;-17.931;77.34264521;8.94028467;
233;168.605;-1.562;77.25000000;37.53333333;
234;168.275;-1.187;77.38245035;38.02168971;
235;275.250;-34.827;77.98541667;-65.14347222;
236;244.514;-35.036;78.52788629;-40.04691472;
237;244.513;-35.036;78.52804167;-40.04663889;
238;244.514;-35.036;78.52787500;-40.04705556;
239;244.513;-35.036;78.52804167;-40.04672222;
240;244.513;-35.036;78.52783333;-40.04658333;
241;244.513;-35.036;78.52791667;-40.04680556;
242;244.513;-35.036;78.52762500;-40.04669444;
243;244.513;-35.037;78.52750000;-40.04666667;
244;244.513;-35.036;78.52812500;-40.04672222;
245;244.513;-35.036;78.52791667;-40.04666667;
246;244.513;-35.036;78.52833333;-40.04666667;
247;244.513;-35.036;78.52833333;-40.04666667;
248;244.513;-35.036;78.52833333;-40.04666667;
249;244.513;-35.036;78.52791667;-40.04638889;
250;249.515;-35.365;78.71745833;-44.14371667;
251;182.176;-9.012;79.32144583;22.21441667;
252;180.376;-7.530;79.55834167;24.52194444;
253;158.262;7.903;79.60893750;51.43297222;
254;155.916;9.557;79.72166526;54.28055748;
255;164.464;3.754;79.75000000;44.00000000;
256;280.287;-33.254;79.94548750;-69.53985556;
257;228.434;-30.543;80.15077229;-25.88674819;
258;279.124;-33.262;80.43333333;-68.58333333;
259;279.348;-33.168;80.59608333;-68.78394444;
260;282.415;-32.547;80.95275000;-71.43127222;
261;192.695;-13.246;81.48520125;11.25530000;
262;276.087;-33.246;81.50375000;-66.07675000;
263;183.856;-6.896;82.21776667;22.00111111;
264;210.065;-21.582;82.28738750;-7.25734167;
265;276.975;-32.763;82.46208333;-66.87775000;
266;243.633;-31.771;82.54062825;-38.78481837;
267;243.875;-31.843;82.50000000;-39.00000000;
268;276.675;-32.481;83.24795833;-66.66036111;
269;280.333;-32.163;83.01666667;-69.76666667;
270;200.085;-15.326;83.35761667;4.03325000;
271;144.780;18.183;83.47975042;67.98819139;
272;251.461;-32.264;83.30787500;-45.41394444;
273;184.557;-5.784;83.63305654;22.01449797;
274;174.353;0.746;83.62500000;34.11666667;
275;216.227;-22.957;83.50000000;-13.00000000;
276;277.129;-32.279;83.65070833;-67.06355556;
277;276.884;-32.197;83.91666667;-66.86666667;
278;280.076;-31.936;83.75000000;-69.58333333;
279;287.161;-30.821;84.12841667;-75.73188889;
280;279.768;-31.730;84.42916667;-69.35000000;
281;279.559;-31.745;84.44756667;-69.17218889;
282;179.719;-1.686;84.60440500;28.28587806;
283;176.719;0.761;85.15465000;32.12702778;
284;165.073;7.827;85.03325000;45.71461111;
285;279.717;-31.516;85.04667500;-69.33171389;
286;282.148;-31.236;85.12833333;-71.42538889;
287;278.449;-31.406;85.64583333;-68.26666667;
288;184.363;-3.318;85.79025000;23.48472222;
289;279.125;-31.235;85.96962500;-68.85702778;
290;186.756;-4.495;86.05000000;20.83333333;
291;208.094;-16.213;86.25000000;-3.16666667;
292;183.728;-2.045;86.61983333;24.68916667;
293;197.055;-8.774;87.61666667;9.85000000;
294;170.124;7.701;88.37500000;41.33333333;
295;170.236;7.615;88.34917542;41.19415556;
296;179.058;2.697;88.52087500;31.12805556;
297;171.610;7.192;88.75000000;39.80000000;
298;281.460;-30.119;88.75770833;-70.94600000;
299;277.454;-30.150;89.10416667;-67.48333333;
300;192.684;-4.309;89.38103825;15.83501278;
301;235.470;-23.989;89.38749792;-29.80466778;
302;266.492;-29.343;90.19375000;-57.94833333;
303;212.199;-13.481;90.49573000;-5.46413083;
304;174.193;8.022;91.27309958;37.95998889;
305;207.445;-9.171;92.20416667;0.65000000;
306;193.366;-1.569;92.21525833;16.58594444;
307;189.192;1.040;92.49535875;21.50078889;
308;227.747;-18.184;92.55665306;-21.00774976;
309;204.655;-7.012;92.82500000;4.10000000;
310;195.378;-2.004;92.82770417;14.61444444;
311;181.624;5.496;92.81666667;30.26666667;
312;175.450;9.093;93.20286134;37.36037689;
313;175.442;9.080;93.18375562;37.36117381;
314;175.336;9.239;93.30062500;37.52730556;
315;210.413;-9.305;93.43323292;-2.01312150;
316;188.795;2.394;93.57085750;22.49912444;
317;130.353;25.833;93.50000000;83.23333333;
318;240.501;-21.827;93.54311763;-33.49836978;
319;206.246;-5.058;95.29675417;3.61264444;
320;200.570;-2.013;95.34214317;10.04409311;
321;187.120;5.073;95.29522583;25.23439722;
322;264.804;-26.411;95.17500000;-56.08333333;
323;175.877;10.958;95.54379167;37.82044444;
324;206.497;-4.459;95.94482917;3.66855556;
325;213.792;-8.036;96.08345088;-4.41401459;
326;200.878;-0.956;96.43750000;10.26666667;
327;204.166;-2.085;96.97345250;6.83170278;
328;203.902;-1.991;96.93405000;7.10916667;
329;195.793;2.124;96.80416667;16.20000000;
330;202.190;-0.851;97.15076250;9.15386111;
331;188.817;6.223;97.27386375;24.26154056;
332;193.071;4.303;97.51666667;19.61666667;
333;211.220;-5.020;97.61231667;-0.76829167;
334;236.952;-16.758;97.70585164;-28.57854967;
335;204.678;-1.238;97.96825000;6.77061111;
336;201.219;0.450;97.86468333;10.61736111;
337;205.093;-0.932;98.43420833;6.54302778;
338;195.134;4.266;98.47563750;17.77025250;
339;229.260;-12.968;98.28691667;-20.25197222;
340;206.151;-1.043;98.82500000;5.55305556;
341;163.909;18.643;99.02019777;51.48332374;
342;232.113;-13.492;99.00000000;-23.00000000;
343;239.683;-16.344;99.28750000;-30.84500000;
344;254.547;-21.547;99.14060000;-45.82572778;
345;208.218;-1.443;99.42083333;3.53333333;
346;204.882;1.252;100.29166667;7.73333333;
347;163.963;20.251;101.49617629;51.97080920;
348;133.945;26.465;101.50000000;80.15000000;
349;204.271;3.051;101.62927083;9.09711111;
350;264.400;-22.600;101.59333333;-54.88250000;
351;204.233;3.277;101.81533333;9.23319444;
352;237.001;-12.645;102.00000000;-27.00000000;
353;214.538;-0.613;103.04627500;-1.70841667;
354;169.259;19.783;103.27422083;47.10747778;
355;133.178;26.828;103.31287500;80.86672778;
356;218.690;-2.507;103.25000000;-6.26666667;
357;233.655;-8.982;104.12586250;-22.47376389;
358;264.795;-21.141;104.20412500;-54.82081111;
359;213.374;1.688;104.56337083;0.37647222;
360;186.671;14.275;104.43591667;29.60805556;
361;201.108;8.258;104.95081667;14.23872222;
362;246.437;-14.139;104.75000000;-36.00000000;
363;151.551;25.237;105.15750833;64.30311111;
364;260.190;-18.723;105.66375000;-49.94283333;
365;210.498;6.200;107.28485579;4.98097058;
366;270.029;-20.899;107.38555417;-59.39877778;
367;206.674;8.776;107.90075000;9.52361111;
368;279.531;-23.280;107.97575018;-68.51315682;
369;238.934;-5.826;109.78075000;-25.75006389;
370;244.158;-8.165;110.10400833;-31.43057861;
371;234.669;-2.922;110.42876958;-20.63529472;
372;234.992;-2.733;110.77000000;-20.83111111;
373;231.473;-0.330;111.25168397;-16.59605977;
374;240.079;-4.644;111.53383333;-26.21058333;
375;230.392;1.424;112.31854167;-14.81022222;
376;233.760;-0.341;112.38473708;-18.61173444;
377;195.931;19.035;113.15631500;23.24839167;
378;238.713;-2.030;113.35250000;-23.76561111;
379;204.331;16.059;113.62500000;14.71666667;
380;232.062;2.016;113.69039583;-15.98840000;
381;274.881;-19.153;114.08337500;-63.07111111;
382;237.685;-0.318;114.43362917;-22.03481111;
383;245.236;-4.505;114.46353508;-30.66130953;
384;245.236;-4.505;114.46353508;-30.66130953;
385;146.593;29.377;114.59419042;69.07223006;
386;254.193;-9.192;114.63465417;-40.71116389;
387;149.730;29.599;115.19080319;66.34264435;
388;202.768;18.438;115.25000000;17.05000000;
389;178.128;26.575;115.55080754;41.17079891;
390;175.536;27.214;115.67554167;43.56727778;
391;243.773;-2.444;115.70440833;-28.37882222;
392;241.334;-0.743;116.00000000;-25.41666667;
393;266.660;-14.283;116.26866667;-53.88598889;
394;259.203;-10.103;116.74799167;-45.49073611;
395;149.218;30.283;116.91536403;66.78243486;
396;160.152;30.310;117.42551393;57.34788547;
397;257.066;-8.349;117.45697917;-42.79503889;
398;160.557;30.327;117.50000000;57.00000000;
399;281.056;-20.048;117.64937500;-68.77605833;
400;202.730;21.086;117.78814720;18.12735717;
401;227.607;9.771;118.38750000;-8.32638889;
402;188.187;26.721;118.66953333;32.53227778;
403;234.464;7.224;119.62112833;-15.46909389;
404;246.856;-0.417;119.50000000;-30.00000000;
405;246.936;-0.361;119.60286306;-30.03905001;
406;269.950;-13.239;120.50000000;-56.21666667;
407;186.778;28.890;120.77083333;34.31666667;
408;230.070;11.196;120.86186667;-9.71411389;
409;253.331;-2.872;121.09250000;-36.79319444;
410;213.920;20.334;121.52083333;8.28333333;
411;257.426;-4.983;121.59750000;-41.37525000;
412;268.727;-11.594;121.94660417;-54.35735000;
413;256.134;-3.759;122.04845833;-39.63136111;
414;263.301;-7.957;122.43264583;-47.89852778;
415;183.676;31.217;122.80000000;37.46666667;
416;256.111;-2.811;123.06167500;-39.09692222;
417;200.909;27.480;123.47500000;22.01666667;
418;139.998;31.618;123.74791667;74.48491667;
419;213.626;22.950;123.78656667;9.66408333;
420;173.626;33.453;123.99775958;46.19812222;
421;249.983;2.908;124.70541667;-30.82527778;
422;251.358;1.875;124.60806250;-32.54181389;
423;235.890;12.595;125.10992375;-13.84884972;
424;256.523;-1.032;125.24970417;-38.44525000;
425;257.261;-1.583;125.20462500;-39.36547222;
426;258.749;-2.734;125.06441667;-41.24311111;
427;259.825;-3.137;125.43598333;-42.35707222;
428;260.382;-3.473;125.48902208;-43.00474278;
429;221.988;21.245;125.79068792;1.98679694;
430;223.577;20.789;126.10350092;0.46682417;
431;196.964;31.743;126.71461167;26.62258250;
432;165.470;35.647;126.95000000;53.00000000;
433;253.965;2.561;127.06927293;-34.28529102;
434;262.285;-2.694;127.88512500;-44.10330556;
435;260.886;-1.036;128.57419583;-41.99333056;
436;276.075;-11.924;128.70833333;-60.58333333;
437;257.076;1.990;128.76283333;-37.13097222;
438;263.552;-2.787;128.83588121;-45.17635419;
439;261.537;-1.107;129.02437500;-42.55691667;
440;219.721;26.272;129.27350833;6.17071111;
441;247.575;9.775;129.49054167;-24.90833333;
442;260.904;-0.336;129.33830958;-41.58737861;
443;248.807;8.981;129.57833750;-26.35820833;
444;259.606;0.928;129.62833333;-39.78944444;
445;281.441;-14.927;129.90416667;-66.58111111;
446;270.774;-7.143;130.14052500;-53.54331944;
447;267.182;-4.101;130.52268458;-48.85572222;
448;219.400;28.223;130.89091667;7.31327778;
449;147.800;35.600;130.84500000;67.21888889;
450;268.496;-4.898;130.79118333;-50.37863889;
451;257.190;4.710;131.52516667;-35.56144444;
452;263.444;0.158;131.98887500;-43.28244444;
453;210.060;33.305;132.22083333;16.71666667;
454;132.654;31.462;132.25628211;80.48308960;
455;279.433;-12.171;132.42745833;-63.37638889;
456;266.779;-1.349;133.33887500;-46.81558333;
457;162.782;39.408;133.60718958;54.82466167;
458;256.847;7.517;133.91005628;-33.52758448;
459;266.967;-1.004;133.90075000;-46.73705556;
460;267.116;-1.193;133.83154167;-46.97294444;
461;278.575;-10.427;134.24695833;-61.63130833;
462;190.141;39.736;134.27945833;33.82138889;
463;265.457;0.822;134.48263333;-44.40295833;
464;256.162;9.486;135.18313794;-31.74191528;
465;267.404;-0.004;135.41716667;-46.41347222;
466;280.390;-11.082;135.63500000;-63.42000000;
467;265.074;2.859;136.24617917;-42.77038889;
468;289.738;-18.320;136.04362500;-74.99491667;
469;267.239;1.011;136.34958333;-45.61472222;
470;271.633;-2.854;136.46650000;-51.46501389;
471;278.222;-8.816;136.31352083;-60.32279444;
472;272.151;-3.031;136.81625417;-51.96648889;
473;246.119;19.850;137.15909250;-17.66046389;
474;270.265;-1.019;137.14775000;-49.21805556;
475;287.728;-16.256;137.39920833;-72.20248333;
476;135.325;33.704;137.50000000;77.46666667;
477;265.839;3.845;137.93750000;-42.66666667;
478;263.165;6.584;138.17791667;-38.85083333;
479;273.637;-2.563;139.03812500;-52.72900000;
480;267.735;3.573;139.46837083;-44.22233333;
481;266.285;5.274;139.75000000;-42.00000000;
482;279.687;-7.774;139.86612500;-60.68066667;
483;151.431;40.725;140.30889747;62.90386409;
484;273.776;-1.447;140.49949375;-52.04401944;
485;225.420;36.392;140.55842500;6.63980556;
486;269.250;3.173;140.56895833;-45.57805556;
487;272.237;0.160;140.56233750;-49.82002222;
488;259.697;13.003;140.99166667;-31.95000000;
489;274.712;-1.930;141.03634167;-53.04516667;
490;278.394;-5.595;141.12841667;-58.23475000;
491;153.506;41.833;141.32310458;61.05114000;
492;205.286;44.202;141.93858333;23.75297222;
493;274.811;-1.360;141.81191667;-52.70516667;
494;226.854;37.601;142.18333333;6.23333333;
495;195.838;45.915;142.25000000;30.63333333;
496;250.760;23.019;142.64695833;-18.90863889;
497;253.932;20.138;142.51175000;-23.02916667;
498;250.999;23.054;142.82965478;-19.04861884;
499;261.277;14.069;143.16312500;-32.28727778;
500;275.885;-1.375;143.09525000;-53.45305556;
501;271.059;4.207;143.46720833;-46.07977778;
502;268.361;7.411;143.74250000;-41.90541667;
503;275.690;-0.700;143.61765417;-52.82425000;
504;192.376;47.511;143.77500000;33.18333333;
505;272.605;3.230;144.17325000;-47.84183333;
506;277.510;-1.292;145.24258333;-54.47794444;
507;267.795;9.904;145.40833333;-39.68333333;
508;276.446;0.092;145.42144583;-52.73457778;
509;278.569;-2.232;145.56200000;-55.88197222;
510;279.345;-2.990;145.72676667;-56.96200278;
511;216.609;45.380;145.87541667;16.52694444;
512;207.887;47.458;145.88498958;22.88490556;
513;276.842;-0.033;145.78333333;-53.08805556;
514;180.437;49.375;146.07557733;41.10126386;
515;249.129;28.843;146.12064958;-13.91156389;
516;274.199;3.674;146.40939167;-48.55402778;
517;225.413;43.126;146.53166667;9.86527778;
518;201.142;49.384;146.83869583;27.67875000;
519;279.168;-1.646;147.05116667;-55.82136111;
520;287.826;-11.702;147.33569583;-69.04488889;
521;289.469;-13.321;147.85000000;-71.31694444;
522;243.652;35.380;148.03467254;-6.12319167;
523;268.702;12.033;148.07166667;-38.65283333;
524;228.908;43.697;148.28879042;7.92659722;
525;278.998;-0.101;148.52519167;-54.51467222;
526;281.197;-2.696;148.72296667;-57.91352775;
527;278.264;1.159;148.87275417;-53.07128889;
528;283.685;-5.737;148.83666667;-61.83777778;
529;244.762;36.201;149.25000000;-6.28333333;
530;244.830;36.199;149.28383333;-6.32708333;
531;279.448;0.227;149.48337500;-54.53441667;
532;275.742;5.418;149.85921667;-48.16318611;
533;229.732;45.498;150.15833333;8.33277778;
534;278.107;2.603;150.11725417;-51.83281111;
535;280.226;0.084;150.40770833;-55.11883333;
536;280.691;-0.648;150.28583333;-55.98338889;
537;280.726;-0.708;150.27070833;-56.05277778;
538;282.945;-3.548;150.38429167;-59.65494444;
539;280.901;-0.503;150.74125000;-55.99361111;
540;282.829;-3.224;150.58541667;-59.32700000;
541;179.832;52.973;150.87500000;41.05000000;
542;276.037;6.117;150.83970417;-47.78366389;
543;197.937;53.673;151.37500000;30.25000000;
544;285.550;-6.029;151.65250000;-63.19477778;
