theta,A_r,A_theta,A_phi
0,2,0,0
0.00314473739098077,1.99999011063489,0.00314473220773636,0
0.00628947478196155,1.99996044263737,0.00628943331606775,0
0.00943421217294232,1.99991099630082,0.00943407222589675,0
0.0125789495639231,1.99984177211425,0.0125786178387411,0
0.0157236869549039,1.99975277076224,0.015723039057041,0
0.0188684243458846,1.99964399312495,0.0188673047844671,0
0.0220131617368654,1.99951544027812,0.0220113839262276,0
0.0251578991278462,1.99936711349307,0.0251552453893758,0
0.028302636518827,1.99919901423664,0.0282988580831181,0
0.0314473739098077,1.99901114417124,0.0314421909191206,0
0.0345921113007885,1.99880350515478,0.0345852128118173,0
0.0377368486917693,1.99857609924068,0.0377278926787172,0
0.0408815860827501,1.99832892867784,0.0408701994407116,0
0.0440263234737308,1.99806199591061,0.0440121020223817,0
0.0471710608647116,1.9977753035788,0.0471535693523057,0
0.0503157982556924,1.9974688545176,0.0502945703633662,0
0.0534605356466731,1.99714265175761,0.0534350739930574,0
0.0566052730376539,1.99679669852477,0.0565750491837923,0
0.0597500104286347,1.99643099824032,0.0597144648832099,0
0.0628947478196155,1.99604555452082,0.0628532900444819,0
0.0660394852105962,1.99564037117806,0.0659914936266205,0
0.069184222601577,1.99521545221905,0.0691290445947845,0
0.0723289599925578,1.99477080184595,0.072265911920587,0
0.0754736973835386,1.99430642445609,0.0754020645824016,0
0.0786184347745193,1.99382232464186,0.0785374715656696,0
0.0817631721655001,1.99331850719071,0.0816721018632066,0
0.0849079095564809,1.99279497708505,0.0848059244755092,0
0.0880526469474617,1.99225173950229,0.0879389084110613,0
0.0911973843384424,1.99168879981468,0.0910710226866408,0
0.0943421217294232,1.99110616358935,0.0942022363276263,0
0.097486859120404,1.9905038365882,0.0973325183683026,0
0.100631596511385,1.98988182476786,0.100461837852168,0
0.103776333902366,1.98924013427963,0.103590163832239,0
0.106921071293346,1.98857877146943,0.106717465371359,0
0.110065808684327,1.9878977428777,0.1098437115425,0
0.113210546075308,1.98719705523941,0.112968871429073,0
0.116355283466289,1.98647671548389,0.11609291412523,0
0.119500020857269,1.98573673073485,0.119215808736173,0
0.12264475824825,1.98497710831027,0.122337524378457,0
0.125789495639231,1.98419785572234,0.125458030180296,0
0.128934233030212,1.98339898067736,0.128577295281869,0
0.132078970421192,1.98258049107571,0.131695288835624,0
0.135223707812173,1.98174239501173,0.134811980006584,0
0.138368445203154,1.98088470077365,0.137927337972654,0
0.141513182594135,1.98000741684353,0.141041331924919,0
0.144657919985116,1.97911055189714,0.144153931067958,0
0.147802657376096,1.97819411480392,0.147265104620141,0
0.150947394767077,1.97725811462685,0.150374821813937,0
0.154092132158058,1.97630256062236,0.153483051896216,0
0.157236869549039,1.97532746224029,0.156589764128558,0
0.160381606940019,1.97433282912373,0.159694927787549,0
0.163526344331,1.97331867110898,0.162798512165094,0
0.166671081721981,1.97228499822542,0.165900486568713,0
0.169815819112962,1.97123182069542,0.169000820321849,0
0.172960556503943,1.97015914893422,0.172099482764169,0
0.176105293894923,1.96906699354988,0.175196443251869,0
0.179250031285904,1.96795536534312,0.178291671157976,0
0.182394768676885,1.96682427530724,0.181385135872651,0
0.185539506067866,1.96567373462799,0.184476806803492,0
0.188684243458846,1.9645037546835,0.187566653375837,0
0.191828980849827,1.96331434704412,0.190654645033065,0
0.194973718240808,1.96210552347234,0.193740751236898,0
0.198118455631789,1.96087729592265,0.196824941467705,0
0.20126319302277,1.95962967654146,0.199907185224805,0
0.20440793041375,1.95836267766692,0.202987452026761,0
0.207552667804731,1.95707631182884,0.206065711411693,0
0.210697405195712,1.95577059174857,0.209141932937567,0
0.213842142586693,1.95444553033885,0.212216086182508,0
0.216986879977673,1.9531011407037,0.21528814074509,0
0.220131617368654,1.95173743613827,0.218358066244645,0
0.223276354759635,1.95035443012874,0.221425832321559,0
0.226421092150616,1.94895213635217,0.224491408637573,0
0.229565829541596,1.94753056867633,0.227554764876082,0
0.232710566932577,1.94608974115965,0.23061587074244,0
0.235855304323558,1.94462966805098,0.233674695964252,0
0.239000041714539,1.94315036378952,0.23673121029168,0
0.24214477910552,1.94165184300466,0.239785383497736,0
0.2452895164965,1.9401341205158,0.242837185378587,0
0.248434253887481,1.93859721133227,0.24588658575385,0
0.251578991278462,1.93704113065312,0.248933554466892,0
0.254723728669443,1.935465893867,0.251978061385125,0
0.257868466060423,1.933871516552,0.25502007640031,0
0.261013203451404,1.9322580144755,0.25805956942885,0
0.264157940842385,1.93062540359401,0.261096510412088,0
0.267302678233366,1.92897370005301,0.264130869316606,0
0.270447415624347,1.92730292018682,0.267162616134521,0
0.273592153015327,1.92561308051837,0.270191720883782,0
0.276736890406308,1.92390419775911,0.273218153608466,0
0.279881627797289,1.92217628880881,0.276241884379074,0
0.28302636518827,1.92042937075538,0.27926288329283,0
0.28617110257925,1.91866346087474,0.282281120473972,0
0.289315839970231,1.91687857663062,0.28529656607405,0
0.292460577361212,1.91507473567438,0.288309190272222,0
0.295605314752193,1.91325195584488,0.291318963275547,0
0.298750052143174,1.91141025516823,0.294325855319282,0
0.301894789534154,1.90954965185771,0.297329836667172,0
0.305039526925135,1.90767016431348,0.30033087761175,0
0.308184264316116,1.90577181112249,0.303328948474627,0
0.311329001707097,1.90385461105825,0.306324019606783,0
0.314473739098077,1.90191858308065,0.309316061388869,0
0.317618476489058,1.89996374633577,0.312305044231489,0
0.320763213880039,1.89799012015572,0.315290938575502,0
0.32390795127102,1.89599772405839,0.318273714892308,0
0.327052688662,1.89398657774733,0.321253343684144,0
