theta,A_r,A_theta,A_phi
0,2,0,0
0.00629577686090139,1.99996036332464,0.00629573527023584,0
0.0125915537218028,1.99984145486963,0.0125912209984566,0
0.0188873305827042,1.9996432793481,0.0188862076525383,0
0.0251831074436056,1.99936584461507,0.0251804457201385,0
0.0314788843045069,1.99900916166714,0.0314736857185863,0
0.0377746611654083,1.99857324464202,0.0377656782047709,0
0.0440704380263097,1.99805811081802,0.0440561737850288,0
0.0503662148872111,1.99746378061334,0.0503449231250287,0
0.0566619917481125,1.99679027758524,0.0566316769596548,0
0.0629577686090139,1.99603762842915,0.0629161861028862,0
0.0692535454699153,1.99520586297758,0.0691982014576741,0
0.0755493223308167,1.99429501419893,0.0754774740258154,0
0.081845099191718,1.99330511819625,0.0817537549178218,0
0.0881408760526194,1.99223621420569,0.0880267953627852,0
0.0944366529135208,1.99108834459508,0.0942963467182378,0
0.100732429774422,1.98986155486214,0.100562160480008,0
0.107028206635324,1.98855589363274,0.10682398829207,0
0.113323983496225,1.98717141265895,0.113081581956387,0
0.119619760357126,1.98570816681699,0.119334693442751,0
0.125915537218028,1.98416621410507,0.125583074898612,0
0.132211314078929,1.98254561564106,0.131826478658903,0
0.138507090939831,1.98084643566009,0.138064657255855,0
0.144802867800732,1.97906874151202,0.144297363428809,0
0.151098644661633,1.97721260365873,0.150524350134013,0
0.157394421522535,1.97527809567135,0.156745370554418,0
0.163690198383436,1.97326529422735,0.162960178109456,0
0.169985975244338,1.97117427910748,0.169168526464817,0
0.176281752105239,1.96900513319263,0.175370169542214,0
0.18257752896614,1.96675794246054,0.181564861529134,0
0.188873305827042,1.96443279598238,0.18775235688858,0
0.195169082687943,1.96202978591921,0.193932410368808,0
0.201464859548844,1.95954900751837,0.200104777013045,0
0.207760636409746,1.95699055910967,0.206269212169197,0
0.214056413270647,1.9543545421015,0.21242547149955,0
0.220352190131549,1.95164106097681,0.218573310990451,0
0.22664796699245,1.94885022328896,0.224712486961982,0
0.232943743853351,1.94598213965749,0.230842756077618,0
0.239239520714253,1.9430369237637,0.236963875353873,0
0.245535297575154,1.94001469234614,0.243075602169928,0
0.251831074436056,1.93691556519604,0.249177694277252,0
0.258126851296957,1.93373966515248,0.255269909809201,0
0.264422628157858,1.93048711809758,0.261352007290607,0
0.27071840501876,1.92715805295149,0.267423745647344,0
0.277014181879661,1.92375260166729,0.273484884215892,0
0.283309958740562,1.92027089922575,0.279535182752869,0
0.289605735601464,1.91671308362998,0.285574401444555,0
0.295901512462365,1.91307929589995,0.291602300916401,0
0.302197289323267,1.90936968006693,0.297618642242511,0
0.308493066184168,1.90558438316777,0.303623186955117,0
0.314788843045069,1.90172355523903,0.309615697054031,0
0.321084619905971,1.89778734931112,0.315595935016074,0
0.327380396766872,1.89377592140214,0.321563663804496,0
0.333676173627774,1.88968943051176,0.327518646878369,0
0.339971950488675,1.88552803861489,0.333460648201961,0
0.346267727349576,1.88129191065527,0.339389432254095,0
0.352563504210478,1.87698121453894,0.345304764037483,0
0.358859281071379,1.87259612112755,0.351206409088038,0
0.365155057932281,1.86813680423163,0.357094133484172,0
0.371450834793182,1.86360344060367,0.362967703856065,0
0.377746611654083,1.85899620993113,0.368826887394913,0
0.384042388514985,1.85431529482933,0.374671451862163,0
0.390338165375886,1.84956088083418,0.380501165598708,0
0.396633942236787,1.84473315639483,0.386315797534079,0
0.402929719097689,1.83983231286624,0.392115117195597,0
0.40922549595859,1.83485854450155,0.397898894717511,0
0.415521272819492,1.8298120484444,0.403666900850109,0
0.421817049680393,1.82469302472111,0.409418906968804,0
0.428112826541294,1.81950167623278,0.415154685083199,0
0.434408603402196,1.81423820874718,0.420874007846116,0
0.440704380263097,1.80890283089069,0.426576648562618,0
0.447000157123999,1.80349575413992,0.432262381198984,0
0.4532959339849,1.79801719281344,0.437930980391677,0
0.459591710845801,1.7924673640632,0.44358222145627,0
0.465887487706703,1.78684648786596,0.449215880396357,0
0.472183264567604,1.78115478701456,0.454831733912425,0
0.478479041428506,1.7753924871091,0.460429559410714,0
0.484774818289407,1.76955981654799,0.46600913501203,0
0.491070595150308,1.76365700651891,0.471570239560547,0
0.49736637201121,1.75768429098961,0.477112652632569,0
0.503662148872111,1.75164190669869,0.48263615454527,0
0.509957925733012,1.74553009314616,0.488140526365395,0
0.516253702593914,1.73934909258401,0.493625549917948,0
0.522549479454815,1.73309915000653,0.499091007794829,0
0.528845256315717,1.72678051314068,0.50453668336346,0
0.535141033176618,1.72039343243622,0.509962360775365,0
0.541436810037519,1.71393816105578,0.515367824974731,0
0.547732586898421,1.70741495486486,0.520752861706927,0
0.554028363759322,1.70082407242168,0.526117257527001,0
0.560324140620224,1.69416577496689,0.531460799808138,0
0.566619917481125,1.68744032641328,0.536783276750087,0
0.572915694342026,1.68064799333526,0.542084477387557,0
0.579211471202928,1.67378904495834,0.547364191598579,0
0.585507248063829,1.66686375314842,0.552622210112835,0
0.591803024924731,1.65987239240104,0.557858324519953,0
0.598098801785632,1.65281523983052,0.563072327277765,0
0.604394578646533,1.6456925751589,0.568264011720537,0
0.610690355507435,1.63850468070494,0.573433172067158,0
0.616986132368336,1.63125184137287,0.578579603429298,0
0.623281909229237,1.62393434464114,0.583703101819527,0
0.629577686090139,1.61655248055099,0.588803464159402,0
0.63587346295104,1.60910654169496,0.593880488287519,0
0.642169239811942,1.60159682320532,0.598933972967519,0
0.648465016672843,1.59402362274234,0.60396371789607,0
0.654760793533744,1.58638724048252,0.608969523710807,0
0.661056570394646,1.57868797910664,0.613951191998228,0
